Date,Open,High,Low,Close,Volume
2020-02-10,53.11,54.14,52.84,54.06,2311600
2020-02-11,54.34,55.4,54.27,54.86,2434400
2020-02-12,55.07,55.99,55.03,55.32,1668900
2020-02-13,54.82,55.26,54.52,54.91,2307700
2020-02-14,54.97,55.11,52.87,53.13,3451400
2020-02-18,52.64,53.43,52.22,53.34,2769300
2020-02-19,53.45,53.79,52.93,53.09,2107700
2020-02-20,53.16,54.01,52.67,53.88,2220200
2020-02-21,53.59,53.63,52.7,53.18,2355700
2020-02-24,51.28,52.2,51.13,51.21,3115800
2020-02-25,51.81,51.99,49.33,49.62,3426900
2020-02-26,50.23,51.36,50.03,50.27,3056800
2020-02-27,48.88,49.4,47.56,47.59,4479200
2020-02-28,46.4,47.25,45.46,47.19,6034700
2020-03-02,48.23,49.62,47.57,49.57,4057000
2020-03-03,49.38,50.63,48.07,49.41,4147100
2020-03-04,50.52,50.79,49.44,50.62,2912100
2020-03-05,49.29,50.05,48.87,49.47,2204600
2020-03-06,47.74,48.88,47.26,48.47,3010700
2020-03-09,44.93,46.34,44.02,44.59,4427500
2020-03-10,46.39,47.18,43.96,47.14,3888900
2020-03-11,45.78,46.08,43.68,44.61,3463400
2020-03-12,41.42,44.51,39.99,43.84,6520500
2020-03-13,45.55,48.2,43.52,48.15,5238500
2020-03-16,42.05,43.7,40.32,40.32,4638000
2020-03-17,40.97,44.58,39.61,44.43,4473800
2020-03-18,41.72,43.92,39.74,42.3,4210200
2020-03-19,41.78,45.75,41.2,41.98,3452800
2020-03-20,42.39,42.6,39.95,40.08,3817500
2020-03-23,39.89,40.67,38.4,40.13,4791600
2020-03-24,42.46,44.03,41.59,43.46,3622200
2020-03-25,43.9,48.16,43.05,44.52,4310800
2020-03-26,44.64,48.1,44.5,47.97,3660700
2020-03-27,46.57,49.46,46.11,47.97,3417200
2020-03-30,48.21,50.62,47.67,49.87,2985300
2020-03-31,49.43,50.62,48.66,48.8,3620800
2020-04-01,47.39,48.7,46.66,47.86,3020400
2020-04-02,47.42,48.81,46.15,47.58,2798300
2020-04-03,47.46,48.09,45.45,45.76,2492700
2020-04-06,47.87,49.02,47.19,48.64,2334100
2020-04-07,50.06,50.93,49.03,49.07,2782000
2020-04-08,49.48,51.35,49.27,51.03,2168800
2020-04-09,51.65,53.27,51.1,51.25,3287500
2020-04-13,50.79,51.0,49.55,50.91,2002100
2020-04-14,52.05,52.6,51.03,51.43,2809700
2020-04-15,50.94,50.94,49.44,50.23,2328800
2020-04-16,50.5,50.83,49.1,50.63,2270500
2020-04-17,51.63,51.99,50.64,51.47,1965600
