Date,Open,High,Low,Close,Volume
2020-02-10,201.34,205.49,201.23,205.35,6239500
2020-02-11,206.85,207.02,203.01,203.3,10231900
2020-02-12,204.36,207.5,204.36,206.79,7355800
2020-02-13,206.27,208.12,205.71,207.05,9495300
2020-02-14,207.94,210.43,207.66,209.94,6548800
2020-02-18,209.65,211.15,209.01,210.85,7651500
2020-02-19,212.16,213.81,211.37,212.95,5927500
2020-02-20,211.78,213.33,207.93,211.1,8531900
2020-02-21,209.55,209.87,207.07,208.46,9231500
2020-02-24,197.56,203.43,193.69,198.46,13316800
2020-02-25,198.46,199.56,187.41,188.09,18539000
2020-02-26,189.68,193.19,186.72,186.9,14214700
2020-02-27,181.82,186.03,179.7,179.71,17524400
2020-02-28,173.5,182.03,172.69,181.46,22674700
2020-03-02,186.01,192.12,182.79,192.01,17434500
2020-03-03,192.88,193.72,184.19,185.42,15226400
2020-03-04,190.04,194.16,185.86,193.97,10789100
2020-03-05,190.92,191.6,185.33,186.65,10106900
2020-03-06,183.23,185.68,179.68,184.05,15183200
2020-03-09,170.92,179.27,168.03,170.84,20486400
2020-03-10,179.17,182.3,171.59,182.29,16119400
2020-03-11,177.35,178.43,169.92,172.66,14598200
2020-03-12,158.24,171.71,156.73,159.81,27467700
2020-03-13,168.44,176.03,161.94,175.54,19948900
2020-03-16,150.89,165.03,147.73,151.76,23692000
2020-03-17,155.49,163.43,149.0,157.63,22298000
2020-03-18,148.21,150.43,139.57,148.23,22787500
2020-03-19,146.67,156.99,141.23,152.0,19362800
2020-03-20,154.56,158.0,145.43,146.58,18692100
2020-03-23,141.09,143.11,133.71,135.51,30344100
2020-03-24,144.6,154.99,143.34,154.27,24488300
2020-03-25,159.05,167.9,153.32,161.51,20619600
2020-03-26,161.81,169.25,161.52,168.6,17062900
2020-03-27,160.81,166.82,157.89,161.29,14950700
2020-03-30,160.77,165.59,160.42,165.29,15714500
2020-03-31,166.15,167.91,160.27,160.85,20613100
2020-04-01,156.06,157.81,151.17,152.85,12595200
2020-04-02,152.28,158.09,151.04,157.13,14051100
2020-04-03,155.3,157.46,150.35,151.6,11994700
2020-04-06,159.75,170.44,157.99,169.16,16479100
2020-04-07,177.46,178.5,167.82,168.31,15379000
2020-04-08,170.72,175.71,167.65,174.65,11146500
2020-04-09,175.98,176.89,172.56,173.4,12231800
2020-04-13,171.97,172.03,165.87,168.71,14043700
2020-04-14,172.8,175.14,170.54,174.33,9980500
2020-04-15,168.42,169.08,164.67,165.68,12118700
2020-04-16,166.83,167.72,159.53,162.15,20308200
2020-04-17,169.37,170.7,164.67,169.26,15375800
