Date,Open,High,Low,Close,Volume
2020-02-10,205.51,205.89,203.06,205.83,670300
2020-02-11,206.31,206.31,204.36,204.46,801600
2020-02-12,204.67,208.37,204.13,208.29,567700
2020-02-13,207.4,210.77,207.4,209.81,529500
2020-02-14,210.0,211.34,207.02,209.57,526500
2020-02-18,209.4,210.61,208.11,210.48,360800
2020-02-19,210.89,213.02,209.43,211.23,578200
2020-02-20,210.27,210.95,205.68,209.06,878200
2020-02-21,207.72,209.4,204.56,206.12,623500
2020-02-24,203.2,204.0,198.7,200.41,783500
2020-02-25,201.82,202.01,193.31,193.65,738100
2020-02-26,195.56,200.39,195.56,195.85,960100
2020-02-27,192.62,198.96,190.32,190.54,937100
2020-02-28,185.1,190.43,183.84,189.75,1284100
2020-03-02,188.27,196.86,187.09,196.85,901700
2020-03-03,194.69,198.79,188.3,189.05,966100
2020-03-04,191.95,199.9,189.99,199.78,793700
2020-03-05,193.69,196.72,190.01,192.31,732900
2020-03-06,186.06,193.2,185.68,192.01,959700
2020-03-09,181.05,185.75,176.29,176.81,1023600
2020-03-10,182.94,186.32,176.08,186.06,1401000
2020-03-11,180.54,182.69,174.97,178.03,732500
2020-03-12,167.64,175.22,159.77,165.67,997800
2020-03-13,173.93,182.69,166.29,182.62,1016500
2020-03-16,165.61,179.72,158.99,160.28,1066900
2020-03-17,164.41,177.21,153.45,176.19,1163200
2020-03-18,165.86,169.94,151.59,164.0,904700
2020-03-19,162.45,170.63,153.1,164.6,872100
2020-03-20,167.04,170.13,156.4,157.13,1425300
2020-03-23,159.96,159.96,148.77,151.17,1210000
2020-03-24,159.12,170.99,158.51,170.53,1563500
2020-03-25,165.75,172.71,164.97,166.97,825300
2020-03-26,167.23,177.1,166.9,175.9,900900
2020-03-27,171.91,178.93,169.27,173.91,795500
2020-03-30,176.05,190.16,174.02,188.55,1031300
2020-03-31,184.6,190.9,178.89,180.09,1121800
2020-04-01,173.43,178.36,173.01,175.46,920600
2020-04-02,171.72,183.04,171.72,181.8,671300
2020-04-03,180.61,184.5,179.02,182.69,666800
2020-04-06,191.83,196.74,186.77,195.85,1266900
2020-04-07,199.45,200.0,190.95,190.95,807400
2020-04-08,191.38,194.77,189.78,193.2,574600
2020-04-09,193.7,197.36,192.75,196.07,720500
2020-04-13,194.54,199.15,193.0,199.0,716300
2020-04-14,201.46,204.69,200.63,204.34,607200
2020-04-15,201.47,203.51,198.5,201.3,499200
2020-04-16,203.48,207.66,200.75,206.12,1330400
2020-04-17,208.65,210.27,204.55,209.93,633200
