Date,Open,High,Low,Close,Volume
2020-02-10,84.63,86.09,84.28,86.04,2983900
2020-02-11,87.37,89.99,87.31,89.89,4774000
2020-02-12,90.6,91.83,90.1,90.77,4202400
2020-02-13,89.65,90.65,88.5,90.01,3336900
2020-02-14,90.55,91.05,89.43,89.77,2432900
2020-02-18,88.22,89.42,87.7,88.85,2042400
2020-02-19,89.98,90.74,89.63,90.31,2466900
2020-02-20,90.16,90.8,88.74,89.4,1742200
2020-02-21,88.75,89.02,86.82,87.33,2353500
2020-02-24,84.3,86.0,83.53,84.81,3222300
2020-02-25,85.49,85.7,82.49,83.51,4275700
2020-02-26,83.98,84.66,81.9,82.24,3489000
2020-02-27,80.12,82.16,79.08,79.14,4634900
2020-02-28,76.29,83.47,76.18,83.12,6094600
2020-03-02,83.09,84.34,81.48,84.24,4361300
2020-03-03,83.13,85.72,80.74,81.44,4745200
2020-03-04,82.55,83.36,80.43,83.06,4344300
2020-03-05,80.92,82.69,80.26,80.7,2889800
2020-03-06,78.53,80.13,77.94,79.51,3345100
2020-03-09,72.95,78.87,72.82,73.36,4966400
2020-03-10,76.37,77.3,73.4,77.27,3726500
2020-03-11,75.07,76.02,72.6,73.35,3438000
2020-03-12,69.69,72.85,67.38,68.68,7662200
2020-03-13,71.5,76.44,68.12,76.2,6501000
2020-03-16,68.68,74.43,67.7,69.52,4759800
2020-03-17,71.64,77.96,67.72,77.48,5774800
2020-03-18,72.05,79.81,71.0,74.08,5199800
2020-03-19,72.36,79.64,71.22,75.13,3652300
2020-03-20,77.25,78.68,71.45,71.54,4323800
2020-03-23,72.09,74.55,70.8,71.68,4359000
2020-03-24,75.19,76.6,73.46,76.57,4999500
2020-03-25,75.58,77.94,73.74,74.69,3476700
2020-03-26,74.94,80.06,73.7,79.93,4147600
2020-03-27,77.01,77.41,74.63,74.89,2934100
2020-03-30,75.6,79.08,75.51,79.0,3272200
2020-03-31,78.27,79.99,77.1,77.6,2711700
2020-04-01,75.19,78.77,74.67,76.35,3043800
2020-04-02,75.72,79.01,75.37,78.8,2840200
2020-04-03,78.2,80.65,78.0,78.73,2211400
2020-04-06,80.78,84.62,80.78,84.28,4267900
2020-04-07,85.25,86.39,83.14,83.58,2515600
2020-04-08,84.11,85.16,83.22,84.13,2357000
2020-04-09,84.63,85.97,81.58,82.74,3097900
2020-04-13,82.05,83.01,81.47,82.93,1396600
2020-04-14,83.76,86.35,83.65,85.54,2184900
2020-04-15,84.2,84.44,82.46,83.79,2037400
2020-04-16,84.49,89.51,84.49,89.22,3789400
2020-04-17,90.22,90.57,86.98,88.61,2797500
