Date,Open,High,Low,Close,Volume
2020-02-10,36.53,37.59,36.4,37.21,1303900.0
2020-02-11,37.25,37.76,36.95,37.03,1539100.0
2020-02-12,37.31,38.2,37.17,37.7,2276800.0
2020-02-13,37.48,37.77,37.1,37.72,2121800.0
2020-02-14,37.86,37.92,37.18,37.34,1333500.0
2020-02-18,36.94,37.09,36.68,36.75,1526600.0
2020-02-19,36.9,37.07,36.3,36.3,1586000.0
2020-02-20,36.18,36.67,36.01,36.31,1697900.0
2020-02-21,36.07,36.09,35.42,35.88,1882300.0
2020-02-24,34.83,34.89,33.71,34.42,3216500.0
2020-02-25,35.49,36.12,35.14,36.0,8618200.0
2020-02-26,36.35,36.65,35.28,35.28,3672800.0
2020-02-27,34.43,34.9,33.27,33.4,3436900.0
2020-02-28,32.32,32.94,30.68,31.79,5711900.0
2020-03-02,31.94,33.09,31.65,33.08,4163200.0
2020-03-03,33.09,33.67,30.55,31.46,3121400.0
2020-03-04,31.91,33.32,31.3,33.26,3264600.0
2020-03-05,32.01,32.25,30.9,31.26,3017900.0
2020-03-06,30.21,31.07,30.02,30.89,2078500.0
2020-03-09,28.93,29.36,27.06,27.15,2124200.0
2020-03-10,28.18,28.67,26.73,28.34,2751500.0
2020-03-11,27.4,28.2,26.74,27.49,4413300.0
2020-03-12,25.77,26.27,23.29,23.6,2283200.0
2020-03-13,25.31,25.65,21.79,23.66,3338300.0
2020-03-16,16.78,21.59,16.78,19.69,2889800.0
2020-03-17,20.13,21.91,18.21,19.43,4115000.0
2020-03-18,17.94,18.47,15.12,15.78,3430900.0
2020-03-19,15.61,18.02,14.82,17.24,2846100.0
2020-03-20,17.65,18.28,16.1,16.24,3262800.0
2020-03-23,16.12,16.78,15.25,15.91,3120400.0
2020-03-24,17.26,17.91,16.79,17.31,3171500.0
2020-03-25,17.47,19.4,15.68,18.38,5438500.0
2020-03-26,18.82,20.26,18.53,19.42,4289600.0
2020-03-27,19.03,19.3,17.51,17.66,3945900.0
2020-03-30,17.75,18.08,16.94,17.95,2335300.0
2020-03-31,17.78,19.58,17.63,18.94,4510000.0
2020-04-01,17.74,18.98,17.3,17.6,4313300.0
2020-04-02,17.45,19.17,16.9,18.48,6637000.0
2020-04-03,18.21,18.83,16.66,16.9,4968500.0
2020-04-06,18.0,18.89,17.85,18.71,2882800.0
2020-04-07,20.0,20.76,18.4,18.61,3665700.0
2020-04-08,18.96,19.69,18.71,19.26,3280300.0
2020-04-09,19.83,20.56,19.1,19.36,3925000.0
2020-04-13,19.5,19.5,17.8,18.19,2949000.0
2020-04-14,18.69,19.24,18.38,19.0,2669000.0
2020-04-15,18.2,18.39,17.05,17.27,3646400.0
2020-04-16,17.56,17.59,16.5,16.91,2245600.0
2020-04-17,17.33,18.27,17.14,18.12,3528200.0
