Date,Open,High,Low,Close,Volume
2020-02-10,82.65,84.23,82.65,82.79,1553700.0
2020-02-11,83.31,84.92,82.8,84.24,1311100.0
2020-02-12,86.54,87.61,85.63,86.35,1311800.0
2020-02-13,85.47,88.18,84.63,87.45,1725100.0
2020-02-14,88.05,90.04,88.0,89.15,2105500.0
2020-02-18,88.3,89.09,86.21,88.21,1448800.0
2020-02-19,88.51,90.2,88.2,88.85,2041200.0
2020-02-20,88.51,98.85,87.86,93.79,4973600.0
2020-02-21,91.64,92.81,89.96,91.92,2263400.0
2020-02-24,87.39,90.03,86.73,89.12,1682200.0
2020-02-25,89.89,90.67,85.21,85.36,2195600.0
2020-02-26,84.72,87.3,83.85,85.18,1583900.0
2020-02-27,82.65,84.47,80.3,80.36,2530000.0
2020-02-28,77.68,81.55,76.25,81.4,2580200.0
2020-03-02,82.04,83.84,79.71,83.84,1661200.0
2020-03-03,83.25,84.77,80.44,82.34,1932300.0
2020-03-04,84.59,85.9,82.81,85.8,1198000.0
2020-03-05,83.37,86.3,83.05,84.3,1490200.0
2020-03-06,81.91,83.5,80.2,82.15,1490700.0
2020-03-09,75.09,75.93,69.21,72.56,2627400.0
2020-03-10,76.69,77.2,71.82,74.78,2771400.0
2020-03-11,72.98,72.98,68.68,69.69,2059300.0
2020-03-12,63.97,68.56,60.57,64.79,2619400.0
2020-03-13,69.46,69.78,62.12,68.01,2067800.0
2020-03-16,61.34,63.02,58.93,58.96,2388300.0
2020-03-17,60.29,68.26,57.31,67.06,3062400.0
2020-03-18,62.41,69.11,58.62,68.64,2762300.0
2020-03-19,66.55,67.83,60.25,61.94,2016200.0
2020-03-20,62.68,63.41,53.02,53.45,2963600.0
2020-03-23,52.38,54.38,48.89,50.9,2507500.0
2020-03-24,53.89,57.87,53.05,56.03,1839500.0
2020-03-25,56.39,63.86,55.38,60.02,2295600.0
2020-03-26,60.0,60.72,57.2,60.46,2245100.0
2020-03-27,58.0,58.0,54.75,55.02,2439600.0
2020-03-30,55.61,56.49,54.51,55.6,2045800.0
2020-03-31,55.52,57.73,55.11,56.37,2585900.0
2020-04-01,54.26,57.04,53.62,54.84,2253900.0
2020-04-02,54.88,59.01,52.95,53.66,1911400.0
2020-04-03,53.63,55.38,52.69,52.7,1749700.0
2020-04-06,55.13,57.68,54.48,56.93,1725800.0
2020-04-07,58.31,60.35,56.49,57.0,1952000.0
2020-04-08,57.61,62.43,57.32,61.82,1706000.0
2020-04-09,62.35,67.24,62.17,67.02,1775400.0
2020-04-13,66.78,67.35,61.67,63.31,1678600.0
2020-04-14,64.75,65.84,63.25,63.68,1068400.0
2020-04-15,61.44,61.72,57.86,58.25,1335900.0
2020-04-16,58.26,58.92,56.7,58.57,1618100.0
2020-04-17,60.58,62.79,60.5,61.47,1011000.0
