Date,Open,High,Low,Close,Volume
2020-02-10,249.87,250.36,248.7,250.08,861600
2020-02-11,251.64,252.66,250.58,250.77,965400
2020-02-12,251.16,253.06,250.97,252.45,690000
2020-02-13,252.24,254.66,251.62,253.23,666200
2020-02-14,253.56,254.39,253.0,254.35,650800
2020-02-18,254.25,254.93,253.32,254.08,857900
2020-02-19,254.75,255.34,253.36,254.16,931000
2020-02-20,253.25,254.35,250.47,253.74,922900
2020-02-21,253.58,253.93,252.05,253.32,1587000
2020-02-24,248.14,249.46,243.09,243.94,1330700
2020-02-25,243.95,244.79,233.3,233.96,1423700
2020-02-26,234.42,238.61,233.58,233.99,1310200
2020-02-27,230.38,231.77,222.54,222.64,1359400
2020-02-28,215.98,221.33,212.42,218.19,2353600
2020-03-02,219.66,229.34,219.2,229.15,1625400
2020-03-03,229.59,235.68,223.09,225.88,1607800
2020-03-04,229.92,235.9,228.3,235.66,1213900
2020-03-05,229.0,233.21,227.67,232.48,1548200
2020-03-06,224.76,230.03,223.98,228.22,2175000
2020-03-09,213.6,213.6,203.41,203.82,2393700
2020-03-10,209.56,213.19,203.29,213.19,1962500
2020-03-11,208.64,211.75,202.13,206.45,1470600
2020-03-12,196.62,204.83,177.32,186.51,2288700
2020-03-13,195.87,205.18,187.45,205.02,2180400
2020-03-16,169.05,189.96,166.34,179.18,1809000
2020-03-17,184.15,204.42,180.41,203.77,2284700
2020-03-18,189.47,210.16,181.64,200.26,2582200
2020-03-19,198.21,203.53,187.36,189.8,1818200
2020-03-20,189.73,192.59,181.11,187.92,2155600
2020-03-23,185.2,193.35,172.78,175.58,2162800
2020-03-24,184.36,199.42,178.11,193.16,2161600
2020-03-25,192.11,203.29,188.49,189.91,2165300
2020-03-26,191.73,201.48,188.75,200.03,1512800
2020-03-27,194.04,197.86,190.1,191.92,1173100
2020-03-30,197.18,207.24,195.82,205.19,1281800
2020-03-31,202.7,205.88,197.47,199.61,2372800
2020-04-01,192.0,197.4,188.54,189.28,1566500
2020-04-02,187.63,199.24,186.45,194.5,1963500
2020-04-03,193.39,194.99,185.25,186.6,1943700
2020-04-06,194.62,198.2,190.61,193.86,2090400
2020-04-07,198.61,205.74,198.25,202.03,1383800
2020-04-08,203.47,217.58,201.07,215.76,1804000
2020-04-09,215.13,222.6,215.13,219.32,1744000
2020-04-13,218.2,219.99,213.51,216.19,1096700
2020-04-14,221.64,224.28,218.49,220.79,965400
2020-04-15,219.27,219.27,212.03,213.82,1042400
2020-04-16,214.44,215.27,211.55,212.88,974400
2020-04-17,217.46,223.84,214.61,221.5,1755600
