Date,Open,High,Low,Close,Volume
2020-02-10,76.74,76.86,75.67,76.4,2515200.0
2020-02-11,76.42,77.53,76.27,77.31,1684300.0
2020-02-12,76.71,77.04,75.19,76.21,1769300.0
2020-02-13,76.21,77.19,75.53,76.85,1122300.0
2020-02-14,76.86,77.63,76.79,76.9,1889600.0
2020-02-18,77.07,77.71,76.69,77.71,1883400.0
2020-02-19,78.4,78.67,76.64,76.69,1386700.0
2020-02-20,76.11,77.12,75.72,76.28,1130400.0
2020-02-21,76.38,77.23,75.96,76.54,1403900.0
2020-02-24,75.68,77.03,75.17,76.05,2853700.0
2020-02-25,76.18,76.28,73.8,74.22,2524100.0
2020-02-26,74.78,76.59,74.66,75.35,4313700.0
2020-02-27,74.87,75.9,71.68,71.71,3990100.0
2020-02-28,69.98,70.89,68.03,70.31,4412000.0
2020-03-02,70.77,75.04,70.64,75.01,2610800.0
2020-03-03,75.14,77.04,74.23,75.99,2494200.0
2020-03-04,77.01,78.56,76.5,78.39,2327500.0
2020-03-05,77.44,77.46,75.72,76.87,2258600.0
2020-03-06,75.06,76.3,73.48,75.89,2418000.0
2020-03-09,71.88,74.36,69.84,72.36,3092900.0
2020-03-10,73.83,74.31,69.1,72.8,3415300.0
2020-03-11,70.97,71.69,68.67,69.61,2321100.0
2020-03-12,66.35,68.7,61.54,63.05,3204100.0
2020-03-13,65.1,65.58,59.45,63.7,5489700.0
2020-03-16,59.12,59.77,53.8,58.31,3641200.0
2020-03-17,59.57,67.49,57.73,64.49,5024000.0
2020-03-18,60.32,64.64,58.61,64.31,3188500.0
2020-03-19,63.78,64.44,55.03,59.98,3830000.0
2020-03-20,59.64,59.64,54.21,54.77,3951200.0
2020-03-23,54.12,54.67,51.15,51.83,4180800.0
2020-03-24,54.05,59.45,53.68,58.1,3478200.0
2020-03-25,57.94,59.76,55.61,55.9,3144900.0
2020-03-26,59.67,63.24,57.88,62.43,3414000.0
2020-03-27,60.95,65.65,60.56,64.24,3738400.0
2020-03-30,64.69,66.76,63.99,65.85,3774700.0
2020-03-31,65.41,66.29,63.6,64.52,4810000.0
2020-04-01,61.87,65.2,61.44,64.03,3267400.0
2020-04-02,63.59,66.74,63.59,64.42,3559800.0
2020-04-03,63.69,66.34,61.68,62.04,2608700.0
2020-04-06,63.96,66.52,63.87,65.48,2401800.0
2020-04-07,67.03,69.1,65.56,65.72,2659000.0
2020-04-08,65.9,67.94,64.84,67.45,2541800.0
2020-04-09,68.0,70.32,67.58,69.79,4218700.0
2020-04-13,69.12,69.6,66.35,67.18,1721800.0
2020-04-14,68.39,68.79,66.24,67.82,3187000.0
2020-04-15,66.85,68.23,66.32,67.5,1738000.0
2020-04-16,67.4,68.46,66.12,67.66,1760500.0
2020-04-17,68.89,70.19,68.04,70.05,1531800.0
