Date,Open,High,Low,Close,Volume
2020-02-10,40.89,41.75,40.64,40.86,2085300
2020-02-11,41.1,41.83,40.94,41.36,1929600
2020-02-12,41.38,41.44,40.51,40.81,2376300
2020-02-13,40.8,40.9,38.7,38.86,4897000
2020-02-14,37.65,39.55,37.54,37.83,5653800
2020-02-18,37.55,37.99,37.12,37.69,5994100
2020-02-19,37.69,39.55,37.69,38.9,3313100
2020-02-20,39.1,40.1,38.91,39.0,2972200
2020-02-21,39.34,39.69,38.84,38.87,2065700
2020-02-24,37.94,38.82,37.25,38.36,3445100
2020-02-25,38.53,39.02,36.97,37.18,3288000
2020-02-26,37.47,38.28,36.51,36.61,3028600
2020-02-27,36.05,37.22,35.48,35.69,4419000
2020-02-28,34.79,36.54,34.75,36.41,4339000
2020-03-02,36.83,37.8,36.53,37.75,4818900
2020-03-03,37.36,38.53,36.78,37.67,4247000
2020-03-04,38.04,38.46,37.59,38.28,3329000
2020-03-05,37.15,37.76,36.96,37.53,3076700
2020-03-06,36.75,37.03,35.65,36.39,3800800
2020-03-09,33.99,34.39,30.75,30.79,4896900
2020-03-10,32.24,32.46,28.96,30.36,6353500
2020-03-11,29.67,29.87,27.56,27.99,5032900
2020-03-12,25.58,26.56,23.56,24.12,3919300
2020-03-13,25.29,27.36,22.95,27.34,4126900
2020-03-16,23.71,26.16,23.52,23.71,4077900
2020-03-17,24.58,25.12,22.61,23.86,4179700
2020-03-18,22.02,23.21,19.49,20.88,4980100
2020-03-19,20.78,23.61,20.17,22.7,3167000
2020-03-20,23.24,24.0,21.69,21.98,4254900
2020-03-23,21.91,22.63,21.17,21.77,2874000
2020-03-24,22.86,25.47,22.26,25.31,3700700
2020-03-25,25.68,28.54,24.95,26.69,4271400
2020-03-26,27.0,28.61,26.52,27.91,3507800
2020-03-27,26.81,26.81,25.1,25.24,2497800
2020-03-30,25.2,26.6,24.79,26.3,3062400
2020-03-31,26.24,27.66,26.24,26.87,3959000
2020-04-01,25.59,26.4,25.27,25.53,4352000
2020-04-02,25.68,27.86,24.95,25.39,3539600
2020-04-03,25.87,26.04,25.13,25.46,2670200
2020-04-06,26.91,27.63,26.67,27.16,4857700
2020-04-07,28.76,30.02,27.89,28.61,5101400
2020-04-08,28.67,29.63,28.67,29.48,2977500
2020-04-09,30.32,31.78,29.87,30.63,4559500
2020-04-13,30.15,30.68,28.98,29.55,3892400
2020-04-14,30.1,30.6,28.94,29.68,2393200
2020-04-15,28.32,28.53,27.26,27.78,2585200
2020-04-16,27.69,28.0,26.24,26.59,3233100
2020-04-17,27.69,28.52,27.38,27.94,5346800
