Date,Open,High,Low,Close,Volume
2020-02-10,138.53,139.04,137.71,138.03,964900
2020-02-11,138.9,139.41,136.81,136.95,941400
2020-02-12,138.37,139.99,136.94,138.35,1247900
2020-02-13,129.99,135.96,127.58,135.72,3177600
2020-02-14,135.69,136.52,134.69,134.86,1028400
2020-02-18,134.49,134.74,131.79,133.84,1072700
2020-02-19,133.98,135.72,133.03,133.26,887300
2020-02-20,132.58,134.68,130.93,131.7,1478700
2020-02-21,131.17,132.84,130.3,131.2,1632300
2020-02-24,128.37,128.55,124.36,126.96,1994900
2020-02-25,127.48,127.71,121.07,123.02,1963500
2020-02-26,124.91,126.35,121.92,122.52,1599000
2020-02-27,120.69,125.88,120.14,121.32,1531500
2020-02-28,118.2,120.22,114.48,118.89,2332500
2020-03-02,119.48,121.79,118.08,121.65,1295500
2020-03-03,121.2,123.92,118.19,121.4,1427000
2020-03-04,123.29,126.86,123.0,126.8,1422900
2020-03-05,124.1,126.9,122.8,123.9,1492500
2020-03-06,120.19,123.39,119.49,121.82,1635400
2020-03-09,115.89,117.68,109.04,111.88,2968100
2020-03-10,115.62,117.88,114.11,117.69,2707700
2020-03-11,114.89,115.18,109.04,110.45,2622200
2020-03-12,103.33,105.73,94.27,99.2,2699300
2020-03-13,104.14,108.21,99.53,108.21,1621100
2020-03-16,99.58,106.16,97.27,100.74,1836500
2020-03-17,103.23,110.78,99.54,108.67,2271500
2020-03-18,102.76,108.67,97.63,107.6,2105000
2020-03-19,106.6,111.11,102.81,106.62,1796500
2020-03-20,107.37,107.56,100.14,101.65,1538300
2020-03-23,101.29,102.06,91.46,93.58,2184700
2020-03-24,97.77,105.36,97.38,100.2,1647500
2020-03-25,98.82,108.6,95.82,104.57,2288400
2020-03-26,105.8,114.55,104.38,114.55,1104200
2020-03-27,109.76,113.4,109.04,110.22,1006800
2020-03-30,110.95,112.45,106.3,108.01,1099700
2020-03-31,106.07,108.73,101.69,102.08,1519200
2020-04-01,98.18,102.1,96.8,100.73,1363600
2020-04-02,99.09,102.58,98.32,99.18,1094000
2020-04-03,99.55,102.08,98.72,98.9,1234000
2020-04-06,104.35,109.89,102.72,109.0,1199200
2020-04-07,111.58,118.53,111.04,114.02,1629700
2020-04-08,114.57,122.01,114.04,121.25,1061800
2020-04-09,120.82,130.47,120.72,127.37,1543900
2020-04-13,124.96,126.02,118.65,120.07,833500
2020-04-14,123.51,124.99,119.91,122.37,639200
2020-04-15,119.52,119.53,117.06,117.38,739500
2020-04-16,118.04,120.37,115.08,119.89,848200
2020-04-17,122.58,125.45,122.48,125.12,761000
