Date,Open,High,Low,Close,Volume
2020-02-10,79.34,80.41,78.82,79.57,2455500
2020-02-11,80.39,82.36,80.25,81.55,1577200
2020-02-12,82.72,84.17,82.12,83.14,2084500
2020-02-13,82.36,82.9,80.98,81.09,1517700
2020-02-14,81.24,81.38,79.52,80.22,1895700
2020-02-18,79.68,80.32,78.07,78.98,1158500
2020-02-19,79.23,79.86,79.13,79.59,1290300
2020-02-20,79.42,81.42,79.21,80.95,1635100
2020-02-21,80.34,81.02,79.95,80.52,1580300
2020-02-24,77.38,77.99,76.63,77.36,2689800
2020-02-25,77.75,78.09,72.66,73.24,2406300
2020-02-26,74.19,74.72,71.91,72.25,2996800
2020-02-27,70.46,72.39,68.81,68.86,3367700
2020-02-28,68.19,70.88,67.53,70.45,4156300
2020-03-02,71.31,73.52,69.87,73.46,3631300
2020-03-03,73.44,75.19,69.56,71.21,2949100
2020-03-04,72.41,74.24,70.03,74.16,2242400
2020-03-05,71.76,73.16,71.58,72.86,2746200
2020-03-06,70.4,73.11,69.83,70.97,3578600
2020-03-09,64.08,67.03,58.75,58.76,4379100
2020-03-10,61.88,62.16,57.01,58.89,3663200
2020-03-11,56.94,57.35,53.16,53.23,6644500
2020-03-12,48.26,48.26,44.42,45.42,8213100
2020-03-13,49.29,49.51,41.43,46.17,8541200
2020-03-16,38.96,43.62,33.23,34.4,7742000
2020-03-17,35.63,41.67,35.09,41.13,9219300
2020-03-18,37.85,42.11,36.58,39.99,6784500
2020-03-19,39.4,46.54,38.66,42.62,6383600
2020-03-20,42.35,43.69,39.82,41.4,7474000
2020-03-23,41.33,42.05,39.43,39.92,3984500
2020-03-24,43.39,45.37,41.43,44.65,4216900
2020-03-25,46.33,52.17,45.74,51.36,4872500
2020-03-26,50.52,53.72,50.52,53.16,5230300
2020-03-27,50.45,50.86,47.87,48.7,3589200
2020-03-30,48.03,50.03,47.41,48.88,2517400
2020-03-31,48.25,49.68,48.08,48.93,3281000
2020-04-01,45.58,46.65,43.88,44.39,3270600
2020-04-02,44.7,48.44,44.42,45.27,3917500
2020-04-03,45.59,46.64,44.84,45.45,2763800
2020-04-06,47.64,49.8,47.64,49.17,2583200
2020-04-07,52.99,54.15,50.55,50.92,2555100
2020-04-08,52.0,55.01,51.12,54.68,2039100
2020-04-09,55.76,59.12,54.87,58.09,3735100
2020-04-13,57.78,58.33,56.01,57.22,2722200
2020-04-14,58.45,58.69,56.48,57.81,2877500
2020-04-15,55.11,55.65,50.92,51.95,3259900
2020-04-16,51.72,52.48,48.19,48.75,2725100
2020-04-17,49.55,52.6,49.55,51.45,4176600
