Date,Open,High,Low,Close,Volume
2020-02-10,47.07,47.52,46.93,47.08,1850700
2020-02-11,47.32,48.39,47.29,47.76,1994200
2020-02-12,48.38,48.42,47.41,47.79,1770000
2020-02-13,47.37,47.73,47.15,47.37,2108600
2020-02-14,47.39,47.51,46.23,46.58,1995600
2020-02-18,46.43,47.02,46.37,46.82,1822800
2020-02-19,46.92,47.7,46.84,47.13,1736700
2020-02-20,47.34,47.56,47.01,47.27,1329500
2020-02-21,46.94,48.06,46.93,47.98,2348800
2020-02-24,46.67,47.29,46.44,46.72,2793400
2020-02-25,46.87,46.93,44.38,44.43,3336500
2020-02-26,44.86,44.92,43.13,43.14,2878600
2020-02-27,42.56,43.17,41.19,41.3,3649800
2020-02-28,39.88,41.17,39.45,40.85,4665900
2020-03-02,41.16,42.2,39.93,42.18,4039800
2020-03-03,42.24,43.55,40.69,41.36,3277600
2020-03-04,42.2,42.73,41.46,42.67,2302600
2020-03-05,41.14,41.39,39.72,40.28,2899900
2020-03-06,39.21,40.44,38.39,39.13,2975000
2020-03-09,36.37,37.15,34.28,34.3,3939600
2020-03-10,36.08,36.88,34.1,36.68,3648300
2020-03-11,35.52,35.98,34.16,35.0,3356500
2020-03-12,32.17,34.16,31.22,31.39,4495200
2020-03-13,33.59,35.41,32.2,35.41,4387700
2020-03-16,31.37,33.28,29.93,30.27,3168400
2020-03-17,30.95,32.14,29.39,30.62,3875600
2020-03-18,28.84,29.36,27.2,29.0,4376500
2020-03-19,29.08,33.46,28.77,30.45,3166600
2020-03-20,31.46,31.82,29.69,30.26,4139900
2020-03-23,29.99,31.02,28.05,28.08,3721800
2020-03-24,30.03,32.26,29.82,31.59,3644400
2020-03-25,31.89,33.16,30.03,30.82,3323900
2020-03-26,31.08,33.37,30.39,33.13,4184100
2020-03-27,32.33,33.53,31.68,32.96,3114400
2020-03-30,32.8,35.14,32.16,34.92,5136000
2020-03-31,34.95,37.16,34.42,36.02,4390100
2020-04-01,34.17,36.14,34.05,35.9,5412700
2020-04-02,35.96,37.07,35.07,35.94,4188200
2020-04-03,35.63,36.41,35.42,35.65,3504600
2020-04-06,37.4,38.07,36.87,37.51,5256500
2020-04-07,39.33,39.41,37.14,37.32,4768400
2020-04-08,37.7,39.57,37.32,39.05,3152100
2020-04-09,39.88,40.91,38.81,39.43,3479100
2020-04-13,39.58,39.74,38.27,38.79,3278100
2020-04-14,39.54,39.97,37.84,38.38,3349400
2020-04-15,35.93,36.3,35.03,35.53,3675800
2020-04-16,35.85,35.85,34.72,35.51,2652600
2020-04-17,36.92,37.63,36.72,37.33,2111700
