Date,Open,High,Low,Close,Volume
2020-02-10,36.4,37.06,36.21,36.77,1188300
2020-02-11,36.77,37.45,35.39,35.61,2203300
2020-02-12,35.65,36.43,35.36,35.51,1999100
2020-02-13,35.32,35.36,34.01,34.06,2771300
2020-02-14,34.32,35.14,33.93,34.43,1709700
2020-02-18,34.2,34.42,33.69,34.33,1366400
2020-02-19,34.34,35.54,34.21,34.75,2048300
2020-02-20,34.6,34.82,34.4,34.6,1065900
2020-02-21,34.41,34.71,34.08,34.63,765800
2020-02-24,33.68,34.12,33.14,33.59,1317500
2020-02-25,33.68,33.76,32.12,32.57,1750600
2020-02-26,32.85,33.69,32.32,32.46,1638500
2020-02-27,31.93,32.94,31.67,31.73,1377300
2020-02-28,30.88,31.6,29.44,30.01,3039500
2020-03-02,30.07,31.21,29.4,31.13,2544600
2020-03-03,31.03,32.07,30.29,30.6,1759000
2020-03-04,31.14,31.19,30.54,30.97,1139700
2020-03-05,30.09,30.09,29.18,29.56,1710200
2020-03-06,28.79,30.11,28.62,29.78,1823300
2020-03-09,28.17,28.82,27.73,28.33,2112400
2020-03-10,29.3,29.39,27.44,29.11,1974400
2020-03-11,28.03,28.2,26.25,26.58,2416700
2020-03-12,25.2,26.58,24.23,24.46,1965300
2020-03-13,25.77,26.26,24.02,25.38,2942800
2020-03-16,22.47,23.8,20.79,20.82,1572400
2020-03-17,21.5,21.84,19.08,19.89,2395700
2020-03-18,18.63,19.92,17.07,17.47,2560700
2020-03-19,17.41,21.94,16.98,21.9,3202700
2020-03-20,21.9,25.06,21.19,23.91,5227200
2020-03-23,22.95,23.87,21.04,22.02,2206900
2020-03-24,23.33,24.14,21.42,22.0,1600000
2020-03-25,21.96,24.65,21.65,23.91,1527400
2020-03-26,24.24,26.14,24.0,25.98,1587900
2020-03-27,25.08,25.29,23.41,24.6,1707800
2020-03-30,24.62,25.86,23.99,25.61,1286800
2020-03-31,25.31,25.73,24.33,24.59,1658700
2020-04-01,23.62,24.77,22.95,24.4,3402700
2020-04-02,24.36,25.51,23.62,24.23,1878200
2020-04-03,24.46,24.85,23.93,24.23,1702900
2020-04-06,25.77,26.63,25.16,25.76,1838800
2020-04-07,27.04,27.84,26.21,26.94,2017600
2020-04-08,27.03,28.65,26.82,28.45,1032200
2020-04-09,28.88,31.28,28.88,30.65,2235900
2020-04-13,30.06,30.49,28.24,29.33,1705700
2020-04-14,29.51,29.85,28.98,29.45,1690200
2020-04-15,28.33,28.71,27.91,28.14,1361200
2020-04-16,28.33,28.33,27.19,27.69,1538500
2020-04-17,28.35,29.4,28.35,29.36,918300
