Date,Open,High,Low,Close,Volume
2020-02-10,568.3,571.93,566.06,569.47,506200
2020-02-11,570.43,578.29,569.85,574.2,407900
2020-02-12,574.31,579.13,572.82,577.29,369800
2020-02-13,574.39,579.7,573.27,576.91,279500
2020-02-14,577.52,582.57,576.32,582.57,305400
2020-02-18,580.25,581.01,573.37,578.92,413100
2020-02-19,582.12,589.48,582.06,586.15,493000
2020-02-20,582.89,588.37,577.15,581.21,340600
2020-02-21,577.46,580.32,569.58,570.52,383200
2020-02-24,558.6,569.16,554.27,564.31,565800
2020-02-25,566.99,567.99,547.54,548.25,843500
2020-02-26,552.43,562.35,546.15,547.9,724100
2020-02-27,539.69,545.65,522.32,522.78,781700
2020-02-28,506.94,515.52,496.49,515.52,1359800
2020-03-02,520.78,537.04,511.8,537.04,840300
2020-03-03,539.24,551.1,529.35,539.3,737600
2020-03-04,551.96,573.5,544.01,573.42,736700
2020-03-05,559.71,564.7,547.96,553.59,591900
2020-03-06,541.47,543.23,528.23,539.72,657300
2020-03-09,500.16,537.06,499.31,525.91,1161500
2020-03-10,540.98,545.16,514.2,544.72,943100
2020-03-11,531.74,533.38,506.35,518.91,1042600
2020-03-12,485.52,508.15,469.89,481.49,1089700
2020-03-13,501.38,504.26,461.77,498.14,1424600
2020-03-16,447.93,449.59,404.48,405.11,1578900
2020-03-17,414.11,433.16,376.8,419.38,1981200
2020-03-18,387.87,409.22,324.66,401.9,1712700
2020-03-19,397.89,447.89,387.18,444.06,1027200
2020-03-20,452.14,455.95,405.02,411.72,1262800
2020-03-23,409.85,421.81,389.84,395.76,958900
2020-03-24,417.57,459.32,415.46,452.94,1245100
2020-03-25,451.2,473.7,446.19,450.59,922300
2020-03-26,463.93,472.15,452.92,465.03,854300
2020-03-27,449.93,470.37,448.93,458.57,663500
2020-03-30,470.53,485.33,461.79,480.69,753200
2020-03-31,475.36,480.61,456.46,458.43,1280200
2020-04-01,438.87,443.47,420.4,423.97,1143500
2020-04-02,419.2,438.93,411.03,435.87,1085900
2020-04-03,433.97,441.54,415.25,419.03,683800
2020-04-06,441.74,461.88,437.07,457.53,731100
2020-04-07,474.23,483.82,460.93,462.25,811900
2020-04-08,469.13,490.8,460.95,487.15,590300
2020-04-09,497.07,516.94,486.49,490.98,1064700
2020-04-13,481.17,491.24,471.76,488.04,857300
2020-04-14,498.81,509.44,488.85,503.19,754400
2020-04-15,489.6,498.79,484.69,491.51,623300
2020-04-16,498.5,500.8,474.97,483.88,742000
2020-04-17,496.36,516.83,496.36,515.52,608100
