Date,Open,High,Low,Close,Volume
2020-02-10,40.14,40.51,39.92,40.16,1102600
2020-02-11,40.35,41.3,40.3,41.17,1639900
2020-02-12,41.47,41.95,40.9,41.13,2102700
2020-02-13,40.94,40.98,40.16,40.41,2035400
2020-02-14,40.42,40.72,40.16,40.2,1268400
2020-02-18,39.88,40.6,39.68,40.58,3041300
2020-02-19,40.74,40.94,40.07,40.14,1261100
2020-02-20,39.9,40.78,39.78,40.22,1988600
2020-02-21,40.17,40.58,39.55,40.51,2136400
2020-02-24,38.76,38.91,37.17,37.26,2997000
2020-02-25,37.3,37.45,34.49,34.66,2963700
2020-02-26,35.05,35.59,34.56,34.57,3857500
2020-02-27,33.5,34.38,32.4,32.45,5573400
2020-02-28,31.44,33.14,31.08,32.98,5370500
2020-03-02,33.19,33.94,31.88,33.91,3966100
2020-03-03,33.62,34.56,31.89,32.31,3677200
2020-03-04,33.23,33.33,32.23,33.31,2884000
2020-03-05,32.23,32.38,30.79,31.0,3364000
2020-03-06,29.94,30.61,29.09,29.83,3559100
2020-03-09,27.41,27.56,26.1,26.39,5020400
2020-03-10,28.16,28.78,26.29,28.72,3694400
2020-03-11,27.46,27.68,25.49,26.01,4094500
2020-03-12,24.2,24.21,21.68,21.9,5813000
2020-03-13,23.79,25.69,22.42,25.66,5029700
2020-03-16,21.61,24.29,21.32,22.32,4393400
2020-03-17,22.82,26.02,22.31,25.88,5366100
2020-03-18,23.53,26.13,22.32,23.26,3956100
2020-03-19,23.04,25.93,22.26,24.95,3817700
2020-03-20,26.05,26.1,24.25,25.31,4763300
2020-03-23,24.79,26.59,24.31,24.61,5216800
2020-03-24,26.68,27.53,24.88,26.02,3398700
2020-03-25,26.22,28.01,25.0,26.13,3983200
2020-03-26,26.23,28.45,26.1,28.16,3203900
2020-03-27,27.05,28.53,26.65,27.66,2620500
2020-03-30,27.77,28.89,27.55,28.76,1993200
2020-03-31,28.49,29.09,27.77,28.03,3346500
2020-04-01,26.75,27.89,26.29,26.49,2848700
2020-04-02,26.14,27.45,25.95,26.57,3782100
2020-04-03,26.19,27.41,25.25,25.47,2741200
2020-04-06,26.91,29.02,26.75,28.73,3445900
2020-04-07,30.06,30.5,28.64,28.7,3851500
2020-04-08,29.05,30.7,28.77,30.44,2617000
2020-04-09,30.96,32.59,30.89,31.89,3579400
2020-04-13,31.74,32.25,30.51,32.17,2714500
2020-04-14,32.71,32.98,31.08,31.65,2630100
2020-04-15,30.49,30.53,29.33,30.06,1924800
2020-04-16,30.15,30.26,28.1,28.58,2407200
2020-04-17,29.5,30.67,29.5,30.44,2156700
