Date,Open,High,Low,Close,Volume
2020-02-10,52.68,52.89,52.38,52.89,378100
2020-02-11,52.88,53.18,52.82,53.08,531300
2020-02-12,52.97,53.4,52.67,53.04,558000
2020-02-13,53.03,53.65,52.82,53.48,857800
2020-02-14,53.71,54.15,53.54,54.14,922500
2020-02-18,54.31,54.33,53.72,54.21,898200
2020-02-19,54.24,54.29,53.62,53.62,1128600
2020-02-20,53.67,54.52,53.4,54.5,606200
2020-02-21,54.43,55.01,54.43,54.83,966800
2020-02-24,54.32,54.92,54.03,54.15,1236100
2020-02-25,54.28,54.28,52.85,52.95,2564300
2020-02-26,53.06,53.36,52.22,52.23,1208000
2020-02-27,51.75,51.84,48.84,48.94,2360700
2020-02-28,47.78,47.8,45.76,47.27,2704400
2020-03-02,47.38,48.93,47.04,48.9,2417900
2020-03-03,48.89,50.4,48.53,48.94,2484400
2020-03-04,49.67,50.78,49.41,50.68,1071200
2020-03-05,49.79,50.15,49.09,49.81,1042300
2020-03-06,48.49,49.5,47.61,49.21,2637000
2020-03-09,46.72,47.57,45.8,46.63,1897400
2020-03-10,47.63,48.62,46.04,48.57,2309400
2020-03-11,47.2,47.26,45.15,45.46,2005500
2020-03-12,42.46,44.76,40.41,42.73,2913300
2020-03-13,44.93,45.61,41.42,45.5,2070700
2020-03-16,41.13,41.36,35.02,35.09,2384100
2020-03-17,36.09,37.52,34.33,36.9,2025500
2020-03-18,31.0,36.78,29.64,30.83,2299400
2020-03-19,30.44,33.87,28.7,30.82,1553900
2020-03-20,31.19,31.46,27.5,27.97,1908500
2020-03-23,27.9,27.9,24.48,24.99,1832000
2020-03-24,26.25,26.75,24.24,26.02,2213200
2020-03-25,26.01,31.22,25.83,30.15,1820600
2020-03-26,30.28,32.97,30.06,32.62,1914900
2020-03-27,31.52,35.21,31.18,34.56,1962800
2020-03-30,34.58,34.91,32.43,34.36,1658400
2020-03-31,34.04,34.91,33.27,34.73,3086600
2020-04-01,32.89,32.92,30.07,31.93,2222200
2020-04-02,31.98,33.26,30.04,30.85,2135200
2020-04-03,30.79,31.48,29.6,30.27,1678700
2020-04-06,31.85,35.5,31.59,35.1,3599800
2020-04-07,36.76,37.07,33.91,34.05,2879400
2020-04-08,34.43,36.43,33.58,36.1,2206200
2020-04-09,36.96,40.67,36.68,39.49,1917900
2020-04-13,39.48,39.8,37.79,37.89,1264800
2020-04-14,38.91,39.43,37.76,39.02,1379500
2020-04-15,37.57,38.25,36.02,37.03,1278700
2020-04-16,37.03,37.45,35.55,35.72,1778200
2020-04-17,36.91,38.99,36.79,38.68,1729700
