Date,Open,High,Low,Close,Volume
2020-02-10,218.8,219.55,216.94,219.55,884700
2020-02-11,219.3,221.69,219.17,220.67,814700
2020-02-12,220.61,222.99,220.11,222.16,851500
2020-02-13,221.78,224.07,221.78,223.35,730500
2020-02-14,223.94,225.75,223.43,225.27,456900
2020-02-18,225.8,225.96,223.58,225.81,443500
2020-02-19,226.27,227.12,223.5,223.56,692400
2020-02-20,223.27,224.94,222.79,224.9,779200
2020-02-21,224.7,226.79,224.64,225.76,811800
2020-02-24,224.33,226.82,222.27,223.55,726700
2020-02-25,224.43,225.15,218.79,219.21,855900
2020-02-26,219.71,221.01,218.06,219.03,907500
2020-02-27,216.66,217.67,205.45,205.61,1120900
2020-02-28,202.14,202.3,193.63,198.6,1702900
2020-03-02,199.76,207.59,197.83,207.59,1275700
2020-03-03,207.59,214.42,205.32,206.66,1099200
2020-03-04,209.61,215.87,208.73,215.56,990200
2020-03-05,212.62,214.32,208.64,211.19,801400
2020-03-06,206.4,208.03,200.85,206.99,919000
2020-03-09,198.5,201.59,195.21,195.21,1306000
2020-03-10,199.43,206.93,194.05,206.77,1354400
2020-03-11,201.2,201.23,193.07,193.91,1101600
2020-03-12,180.44,194.7,177.34,180.17,1766900
2020-03-13,188.02,192.01,177.37,191.24,1343500
2020-03-16,174.1,176.48,161.85,161.85,1463000
2020-03-17,165.59,180.61,160.45,179.79,1992200
2020-03-18,168.08,175.0,145.61,152.35,1562900
2020-03-19,151.97,154.03,143.87,145.12,1292700
2020-03-20,146.25,149.45,127.3,130.31,1569000
2020-03-23,130.31,130.31,117.0,119.88,2070100
2020-03-24,124.94,128.06,121.78,126.2,2236300
2020-03-25,124.33,147.79,122.47,139.38,1937900
2020-03-26,139.26,150.41,136.97,149.56,1761900
2020-03-27,144.56,163.29,144.23,158.68,1374300
2020-03-30,160.23,161.64,144.18,152.1,2100300
2020-03-31,150.43,152.24,142.76,147.17,2165100
2020-04-01,139.65,140.45,130.79,138.02,2248000
2020-04-02,135.01,142.09,131.93,135.34,1555300
2020-04-03,133.66,138.06,130.27,132.22,1147600
2020-04-06,139.72,146.28,139.25,145.07,1175800
2020-04-07,153.32,154.38,145.94,147.35,998700
2020-04-08,149.01,161.57,146.58,160.73,1195500
2020-04-09,162.8,172.91,162.8,167.36,1751300
2020-04-13,165.7,166.51,159.02,161.41,758400
2020-04-14,165.91,168.56,162.35,167.03,1021400
2020-04-15,161.23,164.73,158.33,161.08,907500
2020-04-16,161.79,164.93,159.01,161.25,865900
2020-04-17,164.87,171.09,164.5,170.37,1232800
