Date,Open,High,Low,Close,Volume
2020-02-10,149.88,151.81,149.71,151.73,1583600
2020-02-11,153.14,162.23,152.17,159.77,3488200
2020-02-12,159.58,162.17,157.56,161.94,1969900
2020-02-13,161.79,162.94,161.06,162.64,1202800
2020-02-14,163.19,165.1,162.73,164.68,1424600
2020-02-18,164.75,164.96,163.59,164.91,1275300
2020-02-19,164.97,165.55,163.24,164.31,1211500
2020-02-20,164.58,166.63,164.12,165.69,2180300
2020-02-21,165.36,167.43,164.62,166.75,3006000
2020-02-24,164.06,167.18,162.22,165.06,2092400
2020-02-25,165.75,166.61,161.16,161.75,2038500
2020-02-26,162.46,163.88,161.06,161.42,2293700
2020-02-27,147.58,155.03,145.85,147.24,5822200
2020-02-28,144.0,146.82,139.61,142.17,6204100
2020-03-02,142.81,155.3,142.7,155.02,4077800
2020-03-03,155.61,161.22,154.46,156.9,4248500
2020-03-04,159.37,162.94,157.21,162.28,2384700
2020-03-05,159.56,162.84,158.85,160.97,2513900
2020-03-06,158.02,160.33,153.52,159.57,3109400
2020-03-09,151.79,154.05,147.66,149.11,3291300
2020-03-10,152.41,158.19,147.48,158.11,2944400
2020-03-11,153.87,154.89,150.11,152.65,3287100
2020-03-12,143.19,150.35,132.69,142.51,3854100
2020-03-13,149.63,158.0,143.17,155.09,3769000
2020-03-16,138.93,147.36,135.03,135.82,3833900
2020-03-17,138.7,153.26,138.21,146.87,4441300
2020-03-18,141.16,148.68,131.11,138.31,4357000
2020-03-19,137.91,138.12,127.25,130.75,4548200
2020-03-20,129.31,136.5,125.6,128.06,5346100
2020-03-23,126.8,128.69,115.65,116.98,4029300
2020-03-24,121.83,124.4,114.18,123.71,4397100
2020-03-25,122.97,134.98,121.67,127.96,3121700
2020-03-26,128.0,143.74,128.0,142.47,4092400
2020-03-27,139.42,141.8,135.17,136.89,3220000
2020-03-30,140.5,148.66,139.3,148.06,2934600
2020-03-31,145.95,147.81,141.79,144.4,3078400
2020-04-01,137.67,140.23,133.8,137.59,2519000
2020-04-02,137.5,146.97,136.06,146.37,3240000
2020-04-03,144.85,147.53,142.61,145.62,2117600
2020-04-06,148.39,150.0,144.74,148.75,3275700
2020-04-07,153.55,154.48,146.3,146.54,2645600
2020-04-08,148.0,158.03,146.79,157.36,2153800
2020-04-09,158.26,164.77,157.82,164.14,4349900
2020-04-13,163.19,163.57,156.32,157.05,1725500
2020-04-14,160.29,165.9,159.14,165.78,2460700
2020-04-15,166.02,166.31,161.48,162.46,2697900
2020-04-16,164.44,165.03,160.95,161.8,2038600
2020-04-17,165.23,167.83,163.77,167.05,2058900
