Date,Open,High,Low,Close,Volume
2020-02-10,127.43,127.82,125.72,126.68,532500
2020-02-11,126.41,127.12,122.1,122.75,983800
2020-02-12,122.45,123.35,121.27,122.59,1013800
2020-02-13,122.51,124.24,122.51,123.59,452500
2020-02-14,123.92,125.95,123.71,125.95,416300
2020-02-18,125.95,126.9,124.58,125.6,486100
2020-02-19,125.59,125.59,124.03,124.39,848700
2020-02-20,124.71,126.53,124.3,126.37,348200
2020-02-21,126.5,127.79,126.22,127.7,627300
2020-02-24,126.64,127.89,126.12,126.59,488200
2020-02-25,126.6,126.71,122.81,123.0,651600
2020-02-26,123.34,123.84,121.53,121.67,695000
2020-02-27,120.77,121.0,115.35,115.74,826100
2020-02-28,114.51,116.11,110.88,115.17,1635700
2020-03-02,115.75,118.79,114.32,118.72,629800
2020-03-03,118.59,120.45,115.21,116.11,786700
2020-03-04,117.5,121.05,117.5,120.84,480400
2020-03-05,118.57,119.66,116.95,119.61,405900
2020-03-06,116.62,120.47,115.93,120.15,954300
2020-03-09,113.35,115.21,111.48,111.58,954400
2020-03-10,114.21,117.64,110.39,117.58,856100
2020-03-11,114.26,114.93,110.76,112.19,847700
2020-03-12,105.69,109.04,103.24,103.32,1205200
2020-03-13,107.5,108.91,100.14,105.7,1433600
2020-03-16,97.5,97.68,84.96,85.14,1455700
2020-03-17,86.68,92.62,79.37,92.16,1379100
2020-03-18,85.87,86.63,69.43,72.48,901700
2020-03-19,71.0,80.05,69.41,75.53,892000
2020-03-20,76.5,78.58,70.92,71.56,1151100
2020-03-23,68.5,70.71,65.55,66.67,1323900
2020-03-24,69.48,76.19,69.08,76.08,966300
2020-03-25,76.43,86.22,75.33,78.51,941300
2020-03-26,78.43,81.92,73.55,78.69,1083500
2020-03-27,75.71,78.76,74.55,76.05,1132800
2020-03-30,76.36,77.14,72.66,75.0,1161400
2020-03-31,74.7,77.4,73.0,74.61,995800
2020-04-01,70.73,71.56,66.5,69.41,918200
2020-04-02,68.53,70.74,64.81,66.4,1052000
2020-04-03,66.02,67.96,64.68,65.81,553700
2020-04-06,71.33,75.65,71.07,72.66,886200
2020-04-07,77.99,80.23,75.09,75.41,642700
2020-04-08,75.87,80.74,74.93,80.27,589400
2020-04-09,82.88,87.77,82.88,86.0,894200
2020-04-13,86.0,86.0,82.06,83.58,579600
2020-04-14,85.37,86.7,84.08,84.6,529600
2020-04-15,81.15,81.84,76.16,77.96,898400
2020-04-16,78.07,78.21,70.81,72.84,1200400
2020-04-17,75.28,77.19,74.76,75.36,740600
