Date,Open,High,Low,Close,Volume
2020-02-10,78.73,78.88,78.37,78.81,1361100
2020-02-11,78.74,79.07,77.25,77.43,1675000
2020-02-12,77.16,77.63,76.76,77.05,1942900
2020-02-13,77.18,78.02,77.18,77.54,1339800
2020-02-14,77.64,78.98,77.56,78.98,1641600
2020-02-18,79.22,79.27,78.51,79.12,1309200
2020-02-19,79.07,79.09,78.15,78.4,1254300
2020-02-20,82.95,83.57,79.1,80.61,3245900
2020-02-21,80.53,81.19,80.23,81.13,2222500
2020-02-24,80.82,82.08,80.7,80.86,2865100
2020-02-25,80.96,80.97,79.19,79.63,3899600
2020-02-26,79.73,80.44,78.18,78.49,5288700
2020-02-27,73.12,74.58,71.73,71.73,11868000
2020-02-28,70.55,71.67,68.5,71.47,7018500
2020-03-02,72.06,74.1,70.75,74.04,4511600
2020-03-03,74.14,75.6,73.02,73.65,3513000
2020-03-04,75.09,77.33,74.81,77.16,3610400
2020-03-05,76.07,77.01,75.48,76.64,2285800
2020-03-06,75.04,75.92,73.26,75.67,2857300
2020-03-09,70.4,74.0,70.1,72.39,3874300
2020-03-10,73.84,75.7,71.77,75.62,3725100
2020-03-11,74.14,74.36,71.34,72.62,3661500
2020-03-12,67.66,72.68,65.22,66.88,4919500
2020-03-13,68.94,71.19,66.89,71.0,5208500
2020-03-16,62.99,65.65,53.25,53.3,6160400
2020-03-17,55.29,55.42,51.14,54.42,6053900
2020-03-18,51.32,51.81,39.49,41.96,6410800
2020-03-19,42.21,48.55,37.52,47.47,5643100
2020-03-20,49.43,51.89,46.29,46.82,4918200
2020-03-23,45.95,45.95,39.88,42.79,5345400
2020-03-24,45.43,50.2,44.61,50.02,4582800
2020-03-25,51.33,58.74,49.69,53.81,5399900
2020-03-26,55.86,57.88,53.54,57.62,4475800
2020-03-27,55.01,59.36,54.45,56.18,7891300
2020-03-30,56.3,56.89,50.6,52.45,6064200
2020-03-31,51.99,52.35,48.46,49.44,6161000
2020-04-01,46.73,47.32,44.65,46.08,4586100
2020-04-02,44.87,46.72,44.01,45.24,4207200
2020-04-03,44.95,46.0,43.05,43.23,3801800
2020-04-06,46.63,48.3,45.61,46.42,4531200
2020-04-07,49.3,51.64,48.89,48.92,5446200
2020-04-08,50.02,53.42,49.03,52.68,4194900
2020-04-09,55.4,60.22,55.07,56.2,4976800
2020-04-13,56.13,56.21,52.36,53.09,4368000
2020-04-14,54.43,55.93,53.59,55.84,2837600
2020-04-15,53.15,54.15,50.44,51.07,3538600
2020-04-16,51.56,51.87,49.21,49.39,2957900
2020-04-17,51.83,53.0,50.39,51.93,3853200
