Date,Open,High,Low,Close,Volume
2020-02-10,92.8,92.8,91.89,92.27,428700
2020-02-11,92.34,93.49,92.34,92.83,414300
2020-02-12,93.13,94.03,92.85,93.06,529600
2020-02-13,92.59,93.27,92.59,92.89,387400
2020-02-14,92.99,93.62,92.79,93.27,345700
2020-02-18,93.33,94.0,92.22,93.98,759700
2020-02-19,94.05,94.14,91.98,92.18,720800
2020-02-20,92.15,92.89,91.87,92.4,414400
2020-02-21,92.19,92.71,91.34,91.64,906500
2020-02-24,90.38,90.7,88.32,89.23,822800
2020-02-25,89.3,89.3,84.22,84.3,1199600
2020-02-26,84.72,84.93,83.31,83.44,1074700
2020-02-27,82.21,82.8,78.94,78.94,1269900
2020-02-28,77.36,78.15,74.42,76.98,1546700
2020-03-02,77.44,80.16,75.64,79.85,1031400
2020-03-03,79.82,81.78,78.55,79.2,1237300
2020-03-04,80.36,83.5,80.26,83.02,1111100
2020-03-05,81.39,82.6,79.44,81.18,1042300
2020-03-06,78.37,79.84,76.75,79.08,1075800
2020-03-09,74.84,77.13,71.88,72.03,1944200
2020-03-10,73.92,74.12,69.78,73.54,1825000
2020-03-11,71.44,71.72,66.02,66.72,1584000
2020-03-12,61.75,64.78,57.21,58.88,1399700
2020-03-13,62.35,64.92,59.87,64.69,1516300
2020-03-16,58.61,60.84,51.4,51.64,1359200
2020-03-17,53.0,58.78,50.77,57.62,1568400
2020-03-18,53.04,55.33,47.16,48.78,1754200
2020-03-19,48.58,52.05,45.5,49.05,1288100
2020-03-20,49.67,54.66,44.54,44.98,1949200
2020-03-23,44.97,44.97,38.58,40.37,1720000
2020-03-24,43.34,46.71,40.64,46.25,1923700
2020-03-25,42.58,50.21,42.02,47.05,2004600
2020-03-26,47.68,48.55,44.25,47.79,1715900
2020-03-27,45.95,49.15,44.01,46.66,1167700
2020-03-30,46.91,47.39,43.57,45.5,1129700
2020-03-31,45.22,45.75,41.21,42.56,1882700
2020-04-01,39.56,40.27,37.03,39.23,1859200
2020-04-02,38.4,40.38,37.91,39.46,2463600
2020-04-03,39.08,40.02,37.33,38.16,1333800
2020-04-06,40.38,44.31,39.96,42.61,1784700
2020-04-07,45.38,47.67,44.46,45.6,2400200
2020-04-08,46.01,48.74,44.77,48.11,1946200
2020-04-09,49.48,55.64,49.28,53.49,2538900
2020-04-13,53.23,53.32,50.13,51.95,1295700
2020-04-14,52.68,54.6,51.41,51.94,1430500
2020-04-15,49.88,50.7,47.77,50.62,1148700
2020-04-16,50.55,50.55,48.38,48.72,1721000
2020-04-17,50.36,51.43,49.59,50.62,1255800
