Date,Open,High,Low,Close,Volume
2020-02-10,139.97,140.94,137.72,140.9,2893300
2020-02-11,141.33,142.12,137.76,139.94,3060400
2020-02-12,139.85,140.33,135.9,137.07,4957300
2020-02-13,136.93,140.04,136.51,138.66,2557100
2020-02-14,138.86,139.27,137.87,138.92,1501100
2020-02-18,138.96,139.58,137.85,139.17,1594300
2020-02-19,138.87,138.87,135.42,137.01,2267800
2020-02-20,137.02,140.54,136.65,140.53,2202300
2020-02-21,139.85,142.77,139.85,142.25,3180200
2020-02-24,140.39,141.05,139.37,140.78,3097400
2020-02-25,140.78,141.04,134.81,135.28,4040700
2020-02-26,136.34,137.37,132.2,132.23,2228300
2020-02-27,130.04,132.54,125.02,125.8,3834700
2020-02-28,123.82,125.89,119.91,123.08,5790400
2020-03-02,123.45,127.33,120.35,127.22,3437900
2020-03-03,127.08,130.3,121.14,122.47,4913100
2020-03-04,123.32,124.44,120.09,123.49,3673600
2020-03-05,121.4,121.43,117.6,119.9,3553600
2020-03-06,116.96,119.69,115.05,119.06,3613100
2020-03-09,112.5,112.53,103.0,103.04,6489400
2020-03-10,107.0,112.49,102.78,111.44,6009900
2020-03-11,108.68,109.55,100.0,101.5,5926000
2020-03-12,92.52,95.74,82.76,83.49,7611300
2020-03-13,88.85,91.27,81.6,89.77,7038700
2020-03-16,78.88,78.89,65.32,65.79,5743600
2020-03-17,66.55,67.47,53.96,58.86,10561600
2020-03-18,54.5,55.54,43.52,44.92,12166900
2020-03-19,46.31,59.5,45.5,55.74,10392200
2020-03-20,58.97,63.41,46.16,48.14,9258400
2020-03-23,48.5,52.12,46.05,50.16,10694900
2020-03-24,54.45,57.18,52.56,54.73,7401800
2020-03-25,55.72,69.54,54.73,62.34,8662200
2020-03-26,62.69,65.49,58.4,62.1,8730100
2020-03-27,60.42,60.46,55.7,58.17,4837800
2020-03-30,57.57,58.0,54.81,56.27,4848900
2020-03-31,56.61,57.32,52.8,54.86,6507700
2020-04-01,50.75,51.33,46.0,47.04,8728800
2020-04-02,46.12,48.48,42.25,44.01,7679000
2020-04-03,44.21,47.12,44.19,46.72,6759100
2020-04-06,50.6,55.44,49.96,54.06,8207200
2020-04-07,59.0,64.34,59.0,60.88,8424900
2020-04-08,62.0,65.35,60.3,62.91,6692100
2020-04-09,66.0,74.17,65.91,68.17,9096200
2020-04-13,68.6,68.92,62.19,65.3,4123200
2020-04-14,66.11,69.4,65.68,67.75,5105100
2020-04-15,63.8,64.3,59.8,61.22,5168400
2020-04-16,62.01,62.34,52.11,53.1,8421600
2020-04-17,58.36,61.39,55.51,56.12,9279000
