Date,Open,High,Low,Close,Volume
2020-02-10,28.27,28.32,27.91,28.31,3034000
2020-02-11,28.43,28.68,28.35,28.55,3373200
2020-02-12,28.69,29.62,28.69,29.39,4710200
2020-02-13,29.34,30.08,29.25,29.89,3577200
2020-02-14,29.96,30.29,29.77,30.29,2652600
2020-02-18,30.29,30.29,29.41,29.76,3064900
2020-02-19,29.82,30.25,29.82,30.01,3349500
2020-02-20,29.92,30.57,29.79,30.5,3331700
2020-02-21,30.37,30.45,29.93,30.36,3151100
2020-02-24,29.73,29.89,29.26,29.4,3755600
2020-02-25,29.46,29.48,27.73,27.73,4617900
2020-02-26,27.89,28.27,27.05,27.07,4551700
2020-02-27,26.55,27.15,25.99,26.05,6430700
2020-02-28,25.49,25.74,24.58,25.67,9547600
2020-03-02,25.83,27.11,25.34,27.11,6513400
2020-03-03,27.1,27.59,26.19,26.41,5143800
2020-03-04,26.86,28.02,26.7,28.01,5083800
2020-03-05,27.12,27.46,26.44,26.96,5387700
2020-03-06,26.43,26.88,25.83,26.6,6246100
2020-03-09,24.91,24.91,23.57,23.95,7142500
2020-03-10,24.79,24.99,22.86,24.43,5058500
2020-03-11,23.69,23.83,21.75,22.46,9036400
2020-03-12,20.49,20.66,18.2,18.66,9462600
2020-03-13,20.05,21.92,18.66,21.92,9280300
2020-03-16,19.03,20.07,16.95,16.95,7892300
2020-03-17,17.36,18.95,16.63,18.95,6586000
2020-03-18,17.35,18.05,15.97,16.25,7446800
2020-03-19,16.28,16.76,15.03,16.14,8253600
2020-03-20,16.38,16.45,14.6,14.76,10024700
2020-03-23,14.5,14.69,13.1,13.47,9656300
2020-03-24,14.31,16.9,14.16,16.88,8684400
2020-03-25,16.66,19.27,16.32,17.72,7067100
2020-03-26,17.83,18.57,17.32,18.28,6600300
2020-03-27,17.51,17.96,17.06,17.2,5939300
2020-03-30,17.18,17.59,16.75,16.95,6152200
2020-03-31,16.7,17.22,15.84,16.95,10328600
2020-04-01,15.87,16.32,15.35,16.12,9540600
2020-04-02,15.96,16.48,15.5,15.84,7303600
2020-04-03,15.63,15.97,15.11,15.34,6138200
2020-04-06,16.4,17.34,16.12,17.1,8641200
2020-04-07,18.07,18.83,17.23,17.29,7054600
2020-04-08,17.67,19.56,17.37,19.46,6720200
2020-04-09,20.0,21.27,20.0,21.01,7417200
2020-04-13,20.94,20.94,19.8,20.1,4780400
2020-04-14,20.41,20.75,20.22,20.33,3967500
2020-04-15,19.48,19.76,18.75,19.12,4559600
2020-04-16,19.14,19.16,18.39,18.97,3196300
2020-04-17,19.68,20.19,19.68,20.1,4786900
