Date,Open,High,Low,Close,Volume
2020-02-10,82.98,83.17,82.39,82.76,2329800
2020-02-11,83.41,84.36,83.03,83.38,3759800
2020-02-12,83.17,84.32,83.02,83.93,3463800
2020-02-13,83.9,85.03,83.9,84.38,3571400
2020-02-14,84.53,85.72,84.34,85.57,2881300
2020-02-18,85.99,87.09,85.43,87.06,3419500
2020-02-19,87.06,87.27,85.77,85.94,2665800
2020-02-20,85.9,87.39,85.83,87.32,3034800
2020-02-21,87.13,87.81,86.99,87.45,3126400
2020-02-24,87.12,88.93,86.93,87.86,4665600
2020-02-25,87.86,88.19,85.66,85.9,3879900
2020-02-26,86.3,86.88,84.85,84.9,3902100
2020-02-27,84.49,84.79,80.31,80.4,4545800
2020-02-28,78.93,78.93,75.56,77.33,8247000
2020-03-02,77.81,83.4,77.6,83.26,5612300
2020-03-03,82.85,85.01,82.03,82.47,5624500
2020-03-04,83.31,88.09,83.31,88.06,4571600
2020-03-05,86.42,87.82,85.23,86.22,3880800
2020-03-06,83.98,86.14,82.62,85.76,4520400
2020-03-09,81.46,83.5,78.69,80.45,6171300
2020-03-10,82.17,83.21,78.2,82.32,4869600
2020-03-11,80.37,80.56,77.07,78.09,4258300
2020-03-12,73.69,76.15,69.04,70.53,6777600
2020-03-13,75.17,77.51,70.54,77.44,7362700
2020-03-16,70.51,76.16,67.14,67.9,6506700
2020-03-17,69.5,81.8,69.43,79.61,8190800
2020-03-18,74.36,79.77,72.68,79.39,6562700
2020-03-19,79.06,79.15,70.3,71.07,7855600
2020-03-20,71.24,71.26,65.63,66.49,9964200
2020-03-23,66.38,66.38,57.16,58.74,8042700
2020-03-24,62.14,66.68,61.35,64.96,6514400
2020-03-25,64.13,70.04,63.33,66.61,4987600
2020-03-26,66.58,72.7,66.28,71.65,4741300
2020-03-27,69.34,75.09,68.65,72.28,4217000
2020-03-30,73.48,77.17,73.44,75.98,5701400
2020-03-31,74.84,75.39,71.12,71.41,4531400
2020-04-01,68.3,70.05,67.1,69.17,4381200
2020-04-02,68.1,71.79,67.8,70.29,3533000
2020-04-03,69.69,70.66,67.87,68.79,3388500
2020-04-06,70.78,74.29,70.78,73.3,5060900
2020-04-07,74.81,75.41,72.35,72.64,4259300
2020-04-08,73.27,78.04,72.78,77.37,3891800
2020-04-09,77.78,81.74,77.78,80.7,5479200
2020-04-13,79.72,80.28,77.57,78.67,2740600
2020-04-14,80.71,81.28,79.47,81.13,3390800
2020-04-15,79.91,80.1,78.54,78.92,2972700
2020-04-16,79.6,80.0,77.18,77.22,3623700
2020-04-17,78.89,81.06,78.03,80.62,2828400
