Date,Open,High,Low,Close,Volume
2020-02-10,94.33,94.38,93.69,94.2,2647800
2020-02-11,94.34,95.19,94.26,94.95,2993100
2020-02-12,94.94,96.17,94.89,95.86,4377700
2020-02-13,96.68,99.23,96.43,98.95,5132500
2020-02-14,99.0,100.6,98.93,100.11,6300400
2020-02-18,100.48,101.26,100.36,100.84,6256900
2020-02-19,101.04,101.2,100.2,100.25,2809100
2020-02-20,100.0,100.66,99.84,100.26,2711000
2020-02-21,100.16,101.8,100.13,101.25,3520000
2020-02-24,100.9,102.59,100.55,101.12,5282900
2020-02-25,101.33,101.5,97.88,98.12,4093000
2020-02-26,98.14,99.33,97.68,97.8,3152200
2020-02-27,96.96,98.15,93.86,93.89,4782900
2020-02-28,92.22,92.22,88.36,90.64,7910900
2020-03-02,90.59,95.82,90.48,95.55,6803600
2020-03-03,95.45,97.57,93.72,94.51,5060500
2020-03-04,95.57,100.52,95.48,100.48,4284200
2020-03-05,99.21,100.32,97.86,98.97,4327400
2020-03-06,96.33,98.35,94.48,97.91,5522600
2020-03-09,93.41,95.58,91.78,93.49,5616000
2020-03-10,94.54,95.51,90.36,93.95,6386600
2020-03-11,91.82,92.09,88.75,89.89,6268200
2020-03-12,84.52,85.36,75.12,79.55,7684400
2020-03-13,84.03,84.87,79.08,84.78,6156000
2020-03-16,78.38,83.67,75.12,75.7,7118500
2020-03-17,77.67,85.55,77.25,85.01,6712800
2020-03-18,80.08,82.02,76.28,78.37,6426500
2020-03-19,78.21,78.26,73.15,74.18,6361700
2020-03-20,74.97,75.12,67.31,67.61,8975700
2020-03-23,65.62,67.15,61.41,63.41,7060100
2020-03-24,66.24,71.08,65.37,70.67,6516900
2020-03-25,70.37,77.64,69.38,73.85,6573700
2020-03-26,74.31,80.98,74.14,80.25,6163700
2020-03-27,77.13,82.72,77.05,79.26,5091300
2020-03-30,80.41,82.97,79.64,82.5,5300800
2020-03-31,81.42,82.99,79.58,79.95,5115500
2020-04-01,77.02,78.83,75.48,76.67,4600700
2020-04-02,75.55,79.04,75.36,78.47,3665500
2020-04-03,77.43,78.42,74.71,75.14,2907200
2020-04-06,77.71,81.03,77.51,80.31,3960100
2020-04-07,82.54,82.72,79.08,79.19,3522900
2020-04-08,79.57,85.58,79.11,84.51,6729500
2020-04-09,85.5,91.93,85.32,89.27,6538900
2020-04-13,88.56,88.99,85.43,86.35,3800500
2020-04-14,88.31,89.83,87.19,89.38,3812800
2020-04-15,87.48,88.42,86.09,86.53,3694300
2020-04-16,86.98,87.57,86.03,86.58,2335100
2020-04-17,88.29,89.54,86.56,89.06,4299100
