Date,Open,High,Low,Close,Volume
2020-02-10,129.95,130.73,129.52,130.69,696700
2020-02-11,130.87,131.62,130.39,130.69,1035300
2020-02-12,130.02,130.92,129.31,130.3,915700
2020-02-13,130.4,132.22,129.92,131.96,738500
2020-02-14,132.36,133.2,131.8,132.84,1639000
2020-02-18,133.42,134.16,132.56,133.48,1455200
2020-02-19,133.7,134.25,131.62,131.81,1633100
2020-02-20,131.74,131.8,129.58,130.19,1933700
2020-02-21,130.11,130.82,128.53,128.71,2846300
2020-02-24,128.52,129.82,128.03,128.49,1559600
2020-02-25,128.59,128.75,124.58,125.09,1599200
2020-02-26,125.05,126.0,124.39,124.44,1529900
2020-02-27,124.09,124.28,119.53,119.64,2553800
2020-02-28,117.64,117.64,112.8,115.79,2735500
2020-03-02,116.27,123.18,115.78,122.93,1957000
2020-03-03,123.28,125.52,119.93,120.72,1980000
2020-03-04,122.42,127.51,122.42,127.13,1506000
2020-03-05,124.84,126.93,123.23,126.23,2200000
2020-03-06,122.77,123.8,119.29,123.09,1877600
2020-03-09,117.04,117.78,112.91,114.29,3271700
2020-03-10,116.23,118.42,112.57,118.14,2819900
2020-03-11,115.24,115.49,108.48,110.55,1765400
2020-03-12,104.43,106.4,97.5,100.66,2872200
2020-03-13,105.61,106.25,95.69,101.94,2675200
2020-03-16,93.67,95.12,85.01,85.91,3435000
2020-03-17,87.86,98.89,86.55,98.66,3471000
2020-03-18,92.8,94.51,78.75,85.58,4108800
2020-03-19,84.78,87.31,76.84,83.24,2802100
2020-03-20,84.9,88.72,78.31,79.22,2493800
2020-03-23,78.2,81.71,74.47,77.43,2180200
2020-03-24,80.83,86.41,78.83,85.5,1860500
2020-03-25,85.23,92.1,82.96,88.1,1922000
2020-03-26,88.77,97.13,88.26,95.78,1672700
2020-03-27,91.87,99.63,91.51,96.4,1835600
2020-03-30,97.42,100.22,94.4,99.11,1826000
2020-03-31,97.76,99.08,92.41,93.07,2620300
2020-04-01,89.11,90.82,83.34,84.76,1530500
2020-04-02,82.65,88.79,82.01,87.35,2065000
2020-04-03,86.36,88.3,82.14,82.58,2375900
2020-04-06,86.57,93.09,85.34,92.11,1300200
2020-04-07,95.18,95.74,91.75,92.75,1360300
2020-04-08,92.92,100.59,92.92,99.55,1430000
2020-04-09,101.1,106.19,100.65,101.92,1497400
2020-04-13,100.68,100.68,96.21,96.95,1762900
2020-04-14,98.95,100.33,97.86,99.69,1104600
2020-04-15,96.88,98.2,95.93,96.37,1414600
2020-04-16,96.62,97.27,94.52,96.23,1727100
2020-04-17,98.06,100.8,97.22,100.3,1320900
