Date,Open,High,Low,Close,Volume
2020-02-10,58.05,58.13,57.78,57.98,1250900.0
2020-02-11,58.03,58.3,57.9,57.95,1073900.0
2020-02-12,57.76,58.35,57.71,58.22,1104100.0
2020-02-13,58.19,58.94,58.08,58.93,1419800.0
2020-02-14,59.02,59.33,58.88,59.29,1144500.0
2020-02-18,59.5,59.83,59.29,59.72,959400.0
2020-02-19,59.7,59.7,58.94,59.02,950300.0
2020-02-20,58.92,59.22,58.67,59.12,1315500.0
2020-02-21,59.2,59.82,58.57,58.7,2395200.0
2020-02-24,58.91,59.35,58.29,58.4,1655600.0
2020-02-25,58.46,59.06,57.52,57.57,1873800.0
2020-02-26,57.62,58.32,57.37,57.4,2267800.0
2020-02-27,57.4,57.59,54.44,54.54,2215400.0
2020-02-28,53.59,53.59,50.87,51.73,3409300.0
2020-03-02,51.82,55.05,51.74,54.94,2205300.0
2020-03-03,54.88,56.12,54.15,54.36,2248700.0
2020-03-04,55.0,57.71,54.58,57.43,1672600.0
2020-03-05,56.59,57.58,56.16,56.96,1618100.0
2020-03-06,55.6,57.29,54.55,57.06,2469800.0
2020-03-09,54.21,55.99,52.79,53.75,3383800.0
2020-03-10,54.36,55.62,51.57,53.59,3358600.0
2020-03-11,52.41,53.4,50.53,51.2,3122800.0
2020-03-12,48.38,51.34,45.03,47.82,3107600.0
2020-03-13,49.55,50.72,47.19,50.52,2375900.0
2020-03-16,47.51,49.91,46.08,47.2,4457000.0
2020-03-17,48.24,53.54,48.15,51.98,4083100.0
2020-03-18,49.69,51.17,46.4,48.6,2835800.0
2020-03-19,48.67,49.03,44.18,44.69,2256800.0
2020-03-20,44.72,44.8,39.91,40.39,3291100.0
2020-03-23,39.98,40.41,37.38,39.69,2853900.0
2020-03-24,40.69,43.69,39.04,43.53,4065700.0
2020-03-25,42.75,45.55,40.21,43.85,3493100.0
2020-03-26,43.91,48.26,43.85,47.54,2889300.0
2020-03-27,46.02,48.96,45.33,47.39,1759900.0
2020-03-30,48.01,50.41,46.99,50.19,2166600.0
2020-03-31,49.3,50.11,47.65,47.93,2878200.0
2020-04-01,46.11,46.57,43.64,44.63,1889300.0
2020-04-02,43.7,46.94,43.28,46.57,1662100.0
2020-04-03,46.02,46.99,44.4,44.81,1487100.0
2020-04-06,46.12,48.31,45.75,47.47,1321600.0
2020-04-07,48.67,48.8,47.33,47.67,2453100.0
2020-04-08,47.76,51.27,47.43,50.85,1969700.0
2020-04-09,51.12,54.04,51.12,52.74,1351200.0
2020-04-13,52.18,52.58,50.29,50.9,725400.0
2020-04-14,52.07,53.35,51.78,53.22,1503700.0
2020-04-15,52.42,52.9,50.84,51.11,1003200.0
2020-04-16,51.4,52.03,50.52,51.22,732300.0
2020-04-17,51.84,52.78,51.22,52.47,704000.0
