Date,Open,High,Low,Close,Volume
2020-02-10,37.53,37.99,37.31,37.96,1810800
2020-02-11,38.16,39.03,38.08,38.5,1978100
2020-02-12,38.51,39.17,38.44,38.9,1822200
2020-02-13,38.88,39.36,38.76,39.22,1749300
2020-02-14,39.31,39.71,39.17,39.71,1825500
2020-02-18,39.66,39.9,39.42,39.6,1828100
2020-02-19,39.76,39.8,39.05,39.06,1888200
2020-02-20,39.04,39.04,37.95,38.7,2425700
2020-02-21,38.55,39.06,38.47,39.03,1854600
2020-02-24,38.45,38.69,37.74,37.81,2629700
2020-02-25,37.75,37.75,35.73,35.82,3499700
2020-02-26,35.84,35.99,34.73,34.75,3559400
2020-02-27,34.55,35.11,33.22,34.2,3885300
2020-02-28,33.36,33.36,31.62,32.92,6020200
2020-03-02,33.02,33.89,32.58,33.87,3885200
2020-03-03,33.92,34.67,32.76,33.01,3208800
2020-03-04,33.48,35.19,33.43,35.14,4961200
2020-03-05,34.25,34.8,33.56,34.05,3471000
2020-03-06,32.69,34.14,32.55,34.02,3078700
2020-03-09,31.26,31.59,29.08,29.87,4954700
2020-03-10,31.05,32.09,30.2,32.07,4503900
2020-03-11,31.02,31.2,28.96,29.74,5745400
2020-03-12,27.74,29.19,26.23,26.37,6385500
2020-03-13,28.13,28.64,25.64,28.6,5398200
2020-03-16,25.44,28.32,24.54,24.67,3893800
2020-03-17,25.31,26.3,23.04,23.37,4547800
2020-03-18,21.43,22.08,19.37,21.8,5335200
2020-03-19,21.79,24.09,20.37,23.74,3611600
2020-03-20,24.18,25.46,22.72,23.11,6080800
2020-03-23,22.9,22.9,20.79,21.97,5404600
2020-03-24,23.29,25.79,23.15,25.54,4211500
2020-03-25,25.61,27.23,24.12,26.06,4666500
2020-03-26,26.36,28.47,25.97,28.0,3597500
2020-03-27,26.6,30.13,26.51,29.29,3399400
2020-03-30,29.39,29.74,27.27,28.2,3588900
2020-03-31,28.38,28.38,26.74,27.02,2981400
2020-04-01,26.1,26.74,25.08,26.61,3880500
2020-04-02,26.44,27.79,25.84,27.55,6675100
2020-04-03,27.26,27.88,25.53,25.98,6458700
2020-04-06,27.38,27.57,26.18,27.0,2995900
2020-04-07,28.39,28.87,27.03,27.12,3158500
2020-04-08,27.21,29.58,26.96,29.19,2547400
2020-04-09,29.96,31.52,29.89,30.49,4052900
2020-04-13,30.21,30.48,28.97,29.72,2122100
2020-04-14,30.2,30.5,29.24,30.15,2359200
2020-04-15,29.16,29.61,28.81,29.24,2733900
2020-04-16,29.24,29.63,28.36,29.43,4127300
2020-04-17,30.11,31.32,29.9,31.1,3055900
