Date,Open,High,Low,Close,Volume
2020-02-10,35.6,35.68,35.48,35.64,2824800
2020-02-11,35.75,35.93,35.61,35.69,3845000
2020-02-12,35.69,35.96,35.64,35.8,2643900
2020-02-13,35.75,35.94,35.62,35.8,3251400
2020-02-14,35.89,35.93,34.51,34.9,8121000
2020-02-18,34.95,35.44,34.76,35.44,7968900
2020-02-19,35.44,35.44,34.64,34.64,4390600
2020-02-20,34.64,35.02,34.52,34.94,4594600
2020-02-21,34.98,35.38,34.77,35.15,4901100
2020-02-24,34.98,35.14,34.63,34.66,5466800
2020-02-25,34.7,34.81,34.09,34.11,4924300
2020-02-26,34.09,34.13,32.78,32.8,7950900
2020-02-27,32.59,32.71,30.58,30.58,10720000
2020-02-28,30.03,30.35,29.2,29.61,21535700
2020-03-02,29.91,31.41,29.82,31.39,9559000
2020-03-03,31.46,32.16,30.51,30.63,8267000
2020-03-04,30.93,31.78,30.91,31.76,5742700
2020-03-05,31.53,31.53,30.87,31.26,6269100
2020-03-06,30.42,31.29,30.01,31.09,8122100
2020-03-09,29.7,30.38,28.62,29.11,8590500
2020-03-10,29.7,30.17,28.51,29.83,8955100
2020-03-11,29.57,29.57,28.8,29.25,8794500
2020-03-12,27.64,28.6,26.3,26.63,8893100
2020-03-13,27.8,28.12,25.18,27.42,10610100
2020-03-16,25.0,25.69,23.47,23.66,10176800
2020-03-17,24.25,25.76,23.0,25.55,10047800
2020-03-18,24.06,24.28,21.12,22.81,9380900
2020-03-19,22.53,22.98,20.55,21.59,7016700
2020-03-20,22.13,22.98,19.56,19.67,15117700
2020-03-23,19.53,19.9,18.12,18.59,12818600
2020-03-24,19.74,21.34,19.45,21.24,9848800
2020-03-25,21.3,23.41,21.2,22.23,8497900
2020-03-26,22.66,24.99,22.35,24.67,8470200
2020-03-27,23.83,26.0,23.8,25.42,6977500
2020-03-30,25.65,25.96,24.77,25.83,6449900
2020-03-31,25.6,25.84,24.56,24.68,5682900
2020-04-01,23.73,23.94,22.38,22.9,6263200
2020-04-02,22.4,23.55,22.35,22.97,6068100
2020-04-03,22.72,22.98,21.4,21.77,7589500
2020-04-06,22.85,24.13,22.76,23.92,6121000
2020-04-07,25.79,26.0,24.55,24.59,8724000
2020-04-08,24.6,26.04,24.6,25.81,6783900
2020-04-09,26.26,27.76,26.1,26.7,7492100
2020-04-13,26.5,26.6,25.51,25.9,3829600
2020-04-14,26.27,26.71,25.86,26.52,6457400
2020-04-15,25.56,25.76,24.91,25.26,4824400
2020-04-16,25.3,25.56,24.79,25.29,5262400
2020-04-17,25.97,26.52,25.75,26.39,3907300
