Date,Open,High,Low,Close,Volume
2020-02-10,157.07,157.62,155.99,156.37,885100
2020-02-11,156.91,157.95,156.51,156.94,677900
2020-02-12,156.3,157.67,155.96,157.27,825900
2020-02-13,157.17,158.16,156.16,157.38,1261100
2020-02-14,157.99,159.32,157.99,159.32,774400
2020-02-18,159.85,160.11,158.82,159.25,1158500
2020-02-19,159.01,159.63,158.02,158.1,790000
2020-02-20,157.7,158.63,157.22,158.26,1182200
2020-02-21,157.94,158.95,156.63,156.81,1285800
2020-02-24,156.23,156.62,152.55,152.59,2065900
2020-02-25,152.91,153.19,147.57,148.04,1744900
2020-02-26,148.42,149.4,144.97,145.37,2132100
2020-02-27,146.05,149.13,139.94,139.98,3214000
2020-02-28,136.69,139.4,133.28,138.35,4207700
2020-03-02,139.03,142.23,137.75,140.78,3323600
2020-03-03,141.19,144.78,138.51,139.58,2534100
2020-03-04,141.24,146.49,141.07,146.33,1564700
2020-03-05,143.44,143.92,139.35,140.31,3109500
2020-03-06,136.7,141.19,135.32,140.42,2474700
2020-03-09,132.73,134.75,123.83,126.46,3550700
2020-03-10,128.53,132.65,120.93,129.27,4230100
2020-03-11,125.97,126.49,116.54,121.7,3777100
2020-03-12,115.23,115.23,102.79,103.21,3994900
2020-03-13,108.66,108.86,97.16,105.83,3748000
2020-03-16,97.0,100.78,87.23,87.72,3728900
2020-03-17,88.38,99.52,87.4,97.38,5059000
2020-03-18,92.04,101.9,88.25,101.36,3882900
2020-03-19,101.46,101.56,96.44,100.0,2471400
2020-03-20,99.15,105.84,97.32,99.64,5236600
2020-03-23,100.31,100.31,88.0,93.42,3145300
2020-03-24,96.67,105.65,95.37,104.03,2826300
2020-03-25,104.16,119.62,101.13,114.02,3365500
2020-03-26,111.35,125.28,110.03,123.6,2017000
2020-03-27,118.95,125.29,116.01,121.13,1585900
2020-03-30,122.63,124.44,118.25,119.99,2348400
2020-03-31,118.35,119.42,112.14,112.99,3501800
2020-04-01,108.35,109.47,101.67,103.71,1810000
2020-04-02,102.18,107.64,101.18,106.26,1618100
2020-04-03,104.65,107.3,103.3,104.28,1642200
2020-04-06,108.95,116.1,108.44,114.04,2025900
2020-04-07,117.66,121.22,115.77,116.67,1968100
2020-04-08,117.65,123.03,116.09,122.05,1748600
2020-04-09,122.98,133.14,122.09,130.53,2161600
2020-04-13,129.77,130.54,125.13,126.98,1908900
2020-04-14,130.04,130.8,126.26,127.93,1733800
2020-04-15,124.07,124.4,120.97,121.51,1873300
2020-04-16,121.66,122.03,117.18,117.46,2427000
2020-04-17,120.23,124.94,119.89,124.44,1802800
