Date,Open,High,Low,Close,Volume
2020-02-10,68.47,68.68,68.1,68.62,2306300
2020-02-11,68.62,68.78,68.4,68.52,2176200
2020-02-12,68.31,68.8,68.11,68.59,2032500
2020-02-13,68.64,69.44,68.48,69.37,2430700
2020-02-14,69.54,69.95,69.32,69.81,1959400
2020-02-18,70.18,70.97,70.12,70.7,3552200
2020-02-19,70.48,70.78,70.31,70.33,2284500
2020-02-20,70.28,70.53,69.74,70.22,2243900
2020-02-21,70.26,70.96,69.99,70.36,3563600
2020-02-24,71.23,71.68,69.77,69.92,3531000
2020-02-25,70.03,70.2,68.29,68.4,3581800
2020-02-26,68.87,69.04,67.88,67.91,3060200
2020-02-27,67.89,68.23,64.39,64.43,4225400
2020-02-28,63.67,63.67,60.86,61.92,7762100
2020-03-02,61.82,65.57,61.75,65.45,5117800
2020-03-03,65.0,67.03,64.78,65.29,5425200
2020-03-04,66.1,68.96,65.63,68.75,3454200
2020-03-05,67.4,69.57,67.02,68.8,5871800
2020-03-06,66.08,69.71,65.8,69.7,6689400
2020-03-09,65.93,69.54,64.88,67.55,9885200
2020-03-10,68.11,70.23,65.67,68.05,8897400
2020-03-11,66.6,67.79,65.21,66.39,5815100
2020-03-12,63.06,66.98,59.57,61.29,7310900
2020-03-13,63.37,66.85,61.0,66.84,5724700
2020-03-16,60.86,67.0,57.41,58.36,7884300
2020-03-17,59.74,67.26,59.64,64.93,8959300
2020-03-18,61.49,64.0,57.67,61.37,6690300
2020-03-19,61.53,62.48,57.24,57.99,6840300
2020-03-20,59.0,59.15,50.03,50.63,9148900
2020-03-23,50.5,51.0,46.58,50.0,6062700
2020-03-24,51.28,54.31,50.57,54.05,5499100
2020-03-25,53.34,57.05,52.58,55.55,5942600
2020-03-26,55.94,58.62,54.94,57.91,5489900
2020-03-27,56.89,60.6,55.99,58.77,4399100
2020-03-30,59.92,63.11,59.03,62.56,7024900
2020-03-31,61.85,62.05,59.81,60.3,6829500
2020-04-01,58.36,59.09,56.96,58.08,4086600
2020-04-02,57.33,61.1,57.11,60.42,3525100
2020-04-03,59.88,60.42,57.29,57.86,3450300
2020-04-06,59.34,62.2,58.93,61.15,4525600
2020-04-07,61.11,62.41,58.6,59.23,3916500
2020-04-08,59.45,63.28,58.88,62.8,2771200
2020-04-09,62.62,66.64,62.61,66.27,4319300
2020-04-13,65.57,66.17,63.02,63.66,2401800
2020-04-14,64.91,66.38,64.72,66.25,3067400
2020-04-15,65.59,65.96,63.9,64.3,2524700
2020-04-16,64.02,65.54,63.94,65.25,3074700
2020-04-17,66.77,67.43,65.4,67.15,2550600
