Date,Open,High,Low,Close,Volume
2020-02-10,117.28,118.22,116.88,117.59,949300
2020-02-11,118.59,119.22,117.97,119.15,575000
2020-02-12,119.7,123.04,119.24,122.75,1140100
2020-02-13,122.05,123.13,121.51,121.69,701400
2020-02-14,122.12,123.11,120.94,121.6,633700
2020-02-18,121.41,121.99,121.02,121.83,637700
2020-02-19,122.64,122.93,121.39,122.2,554900
2020-02-20,122.09,122.09,117.41,120.71,1505500
2020-02-21,120.45,120.45,118.45,118.95,577600
2020-02-24,115.72,117.22,114.91,115.8,565300
2020-02-25,116.12,116.99,111.7,111.83,826100
2020-02-26,113.3,114.73,111.89,111.92,1675800
2020-02-27,109.68,111.14,107.09,107.09,1322900
2020-02-28,105.47,107.49,102.34,103.78,3048500
2020-03-02,104.93,106.63,103.02,105.66,2429100
2020-03-03,105.92,106.13,101.58,101.95,2486900
2020-03-04,103.93,105.62,102.48,105.56,1175700
2020-03-05,102.99,103.7,99.14,100.83,1098500
2020-03-06,97.54,100.43,95.02,99.81,1281900
2020-03-09,93.19,95.2,90.74,91.01,1241700
2020-03-10,94.09,99.69,93.28,98.94,1905000
2020-03-11,96.36,98.26,94.81,97.13,1616400
2020-03-12,90.99,99.1,90.46,95.71,2707100
2020-03-13,99.61,103.74,95.12,103.68,1887900
2020-03-16,92.34,103.43,91.4,99.63,1554600
2020-03-17,101.61,107.14,97.63,104.82,2142600
2020-03-18,99.52,104.77,95.79,100.9,1522600
2020-03-19,100.08,100.28,92.54,93.44,1332800
2020-03-20,93.84,97.68,89.81,90.77,1151600
2020-03-23,89.86,89.86,81.9,84.26,1246800
2020-03-24,87.84,94.88,87.0,94.83,871000
2020-03-25,94.17,96.35,88.89,93.94,1898900
2020-03-26,94.92,97.8,93.47,96.93,1308600
2020-03-27,94.9,95.0,91.31,91.57,947400
2020-03-30,92.31,97.38,90.58,96.94,1036000
2020-03-31,95.55,97.26,93.63,94.83,1001300
2020-04-01,91.77,93.0,90.08,91.32,1123000
2020-04-02,90.4,93.94,90.38,92.1,784000
2020-04-03,91.36,94.46,91.12,92.39,561700
2020-04-06,96.63,99.31,95.55,98.61,1126200
2020-04-07,101.06,103.51,99.43,100.76,941800
2020-04-08,101.41,103.34,99.58,102.1,956900
2020-04-09,102.53,106.37,101.4,105.91,1271400
2020-04-13,105.27,105.9,101.32,102.59,502300
2020-04-14,105.0,107.19,102.98,106.95,952800
2020-04-15,105.55,107.69,104.95,106.57,1016900
2020-04-16,107.24,108.74,105.25,107.05,953300
2020-04-17,109.01,110.14,108.51,109.94,707400
