Date,Open,High,Low,Close,Volume
2020-02-10,106.68,107.29,106.08,106.12,810100
2020-02-11,106.86,107.8,106.49,107.15,604300
2020-02-12,108.3,110.31,107.8,109.91,1051400
2020-02-13,109.01,109.92,108.77,109.01,801100
2020-02-14,108.93,109.38,108.03,109.15,997600
2020-02-18,108.43,108.83,105.44,106.89,1061900
2020-02-19,107.36,108.27,107.08,107.39,674800
2020-02-20,107.09,108.84,106.84,108.03,749300
2020-02-21,107.27,107.47,106.33,107.12,652300
2020-02-24,103.69,104.06,101.93,103.12,764100
2020-02-25,103.75,103.75,96.87,97.03,1328100
2020-02-26,98.04,99.18,96.09,96.1,1691800
2020-02-27,93.66,95.53,90.98,91.0,1169300
2020-02-28,88.07,93.25,87.37,93.0,2435400
2020-03-02,93.34,95.83,91.98,95.6,1434700
2020-03-03,95.23,96.76,92.18,93.9,1216300
2020-03-04,95.59,97.32,92.18,97.1,1091200
2020-03-05,93.74,94.95,92.61,94.0,915000
2020-03-06,90.8,94.27,90.02,91.52,1365600
2020-03-09,85.17,90.28,77.8,78.79,1155600
2020-03-10,82.64,85.64,79.55,85.57,1297200
2020-03-11,82.93,83.14,77.71,80.03,1768800
2020-03-12,74.64,77.05,69.71,72.69,1971000
2020-03-13,77.48,78.88,71.78,77.79,1574800
2020-03-16,69.89,73.62,65.59,65.6,1129500
2020-03-17,67.6,70.1,63.93,69.87,1788100
2020-03-18,64.31,64.9,52.28,58.65,1365600
2020-03-19,57.74,71.72,56.01,63.32,1863500
2020-03-20,64.52,68.84,61.53,64.22,1807300
2020-03-23,63.8,64.8,59.85,61.71,1517800
2020-03-24,66.62,68.75,64.61,66.38,1476100
2020-03-25,66.82,75.05,65.07,72.29,1440400
2020-03-26,72.42,75.28,69.44,74.93,1575000
2020-03-27,71.59,72.2,69.77,70.7,826300
2020-03-30,72.03,74.33,69.12,73.51,853000
2020-03-31,73.46,74.62,71.49,72.81,1006400
2020-04-01,69.35,70.67,66.97,67.51,1117100
2020-04-02,67.61,71.64,66.0,68.05,1593700
2020-04-03,67.8,70.86,66.45,66.57,1110200
2020-04-06,70.23,72.91,70.0,71.89,1177400
2020-04-07,75.47,77.38,73.9,75.24,1174900
2020-04-08,76.2,81.82,75.53,81.33,1116900
2020-04-09,81.2,86.21,80.51,83.24,1096700
2020-04-13,82.41,83.15,79.74,81.45,815500
2020-04-14,83.11,83.36,79.77,80.66,1099800
2020-04-15,76.73,76.96,73.94,74.58,907900
2020-04-16,74.89,77.59,70.85,71.69,1575400
2020-04-17,74.35,78.36,73.95,77.54,1106200
