Date,Open,High,Low,Close,Volume
2020-02-10,102.56,103.86,102.34,102.53,2045300
2020-02-11,103.11,103.25,101.91,102.31,912400
2020-02-12,102.43,103.14,100.81,102.49,1716800
2020-02-13,102.38,103.97,102.3,103.35,1060100
2020-02-14,103.16,103.79,102.68,103.25,1674900
2020-02-18,103.0,104.36,102.3,102.42,2062400
2020-02-19,102.86,104.88,102.62,104.5,1656600
2020-02-20,97.0,100.48,90.69,97.3,7186200
2020-02-21,97.05,98.4,94.71,95.25,3140200
2020-02-24,92.8,94.59,91.76,92.77,3273400
2020-02-25,92.95,93.39,88.0,88.94,2653600
2020-02-26,89.83,92.12,87.97,88.36,2339700
2020-02-27,86.82,88.2,84.53,84.59,2799800
2020-02-28,81.38,84.62,79.92,84.48,4053400
2020-03-02,84.12,86.89,82.13,86.69,3094300
2020-03-03,85.75,88.14,83.43,83.76,3091500
2020-03-04,84.89,87.04,83.63,86.99,2145300
2020-03-05,84.71,85.53,82.46,83.52,2212300
2020-03-06,79.89,82.07,78.6,80.19,2811700
2020-03-09,74.14,77.68,73.54,75.91,3620900
2020-03-10,77.54,79.04,74.63,79.04,3591600
2020-03-11,76.83,77.8,74.07,75.73,2481200
2020-03-12,71.06,73.91,68.76,68.85,4267500
2020-03-13,72.21,73.94,68.49,73.84,3971900
2020-03-16,66.0,70.76,62.77,66.57,3650700
2020-03-17,67.59,70.23,64.32,69.53,3226000
2020-03-18,65.25,67.38,59.74,67.19,3379700
2020-03-19,66.53,72.17,63.36,69.99,3349800
2020-03-20,71.49,73.47,59.75,60.15,4247600
2020-03-23,60.0,60.13,55.69,58.78,3512700
2020-03-24,61.8,69.43,61.63,68.98,2783900
2020-03-25,68.37,74.93,66.73,71.59,3400400
2020-03-26,72.5,75.55,68.84,72.56,2701700
2020-03-27,70.12,71.95,69.9,70.3,2121900
2020-03-30,70.12,72.4,69.62,71.84,1542300
2020-03-31,70.71,71.37,68.0,68.52,2435000
2020-04-01,64.91,66.54,63.2,64.79,2475300
2020-04-02,63.62,66.25,63.0,64.41,2315400
2020-04-03,64.12,64.12,61.51,61.8,2161100
2020-04-06,65.08,65.76,63.47,65.39,2715100
2020-04-07,67.84,72.25,66.71,69.9,3346700
2020-04-08,69.4,72.78,68.9,71.98,1573400
2020-04-09,73.93,77.11,73.46,74.99,1955300
2020-04-13,74.58,74.87,70.57,70.67,1975600
2020-04-14,72.0,72.53,70.74,71.14,2630200
2020-04-15,69.71,71.16,68.43,70.09,1656600
2020-04-16,70.18,70.69,68.35,69.15,3065600
2020-04-17,71.22,73.06,71.17,72.1,2914600
