Date,Open,High,Low,Close,Volume
2020-02-10,46.2,47.09,46.2,46.57,2488300
2020-02-11,46.91,48.33,46.87,47.15,3705400
2020-02-12,48.02,48.68,47.35,47.72,2964200
2020-02-13,47.26,47.35,46.41,46.68,3302600
2020-02-14,46.88,47.3,46.76,47.0,3207000
2020-02-18,46.57,46.89,45.64,46.14,3594300
2020-02-19,46.22,46.67,45.82,45.96,5644900
2020-02-20,45.93,47.17,45.85,47.12,4154200
2020-02-21,46.95,47.13,46.47,46.68,3972800
2020-02-24,45.05,45.46,44.26,44.69,5075900
2020-02-25,44.94,44.97,42.12,42.48,5529300
2020-02-26,42.96,43.37,41.58,41.61,6470700
2020-02-27,40.6,40.73,38.81,38.85,10007700
2020-02-28,37.45,39.78,37.38,39.7,10281600
2020-03-02,40.33,40.69,39.08,40.69,7706700
2020-03-03,40.62,41.99,39.04,39.85,6765300
2020-03-04,40.72,41.23,39.5,41.17,4967000
2020-03-05,39.33,39.92,38.96,39.4,5447400
2020-03-06,38.04,38.99,37.64,38.28,6928400
2020-03-09,34.14,34.33,29.9,29.99,15081500
2020-03-10,31.94,32.74,28.8,30.85,12975400
2020-03-11,29.66,29.8,27.36,27.5,12444100
2020-03-12,25.0,25.93,22.0,23.25,18163300
2020-03-13,27.44,27.52,22.18,25.24,17350800
2020-03-16,22.69,24.98,21.56,21.61,12345400
2020-03-17,25.22,27.11,22.34,26.13,19873300
2020-03-18,24.4,27.79,24.08,25.98,16955900
2020-03-19,25.82,30.8,25.47,27.63,13893400
2020-03-20,28.09,29.17,26.12,26.96,12649100
2020-03-23,26.66,27.93,25.55,26.11,11703100
2020-03-24,28.16,29.43,26.43,27.97,12333600
2020-03-25,28.67,31.85,28.1,29.85,10539200
2020-03-26,29.75,30.75,28.44,29.16,14298600
2020-03-27,27.51,28.75,26.45,28.06,9101400
2020-03-30,27.81,28.87,27.32,28.15,6817000
2020-03-31,28.05,29.55,27.95,28.73,7599900
2020-04-01,27.35,27.77,26.47,26.56,10339900
2020-04-02,26.63,29.32,26.45,27.54,10680300
2020-04-03,27.29,28.07,26.94,27.48,8005100
2020-04-06,29.01,30.44,28.98,30.0,8021100
2020-04-07,32.18,34.45,31.25,31.76,15028000
2020-04-08,32.39,34.33,31.79,34.18,7220700
2020-04-09,35.12,37.08,34.92,35.92,9892300
2020-04-13,35.83,36.25,33.96,34.61,7170600
2020-04-14,35.73,36.49,34.47,34.75,7348800
2020-04-15,33.25,33.25,31.31,31.66,7586700
2020-04-16,32.12,32.12,30.11,31.07,6918500
2020-04-17,32.46,33.46,32.03,32.83,6544100
