Date,Open,High,Low,Close,Volume
2020-02-10,69.99,70.01,69.52,69.69,1229000
2020-02-11,69.7,69.99,69.38,69.74,1883700
2020-02-12,69.3,69.87,69.2,69.64,1989100
2020-02-13,69.79,70.56,69.59,70.44,2091500
2020-02-14,70.7,71.35,70.42,71.21,1737400
2020-02-18,71.48,75.38,71.28,72.73,5842500
2020-02-19,72.6,72.91,72.42,72.76,3869900
2020-02-20,72.62,72.99,71.78,72.42,3241900
2020-02-21,72.53,72.88,71.76,71.78,2294400
2020-02-24,71.72,72.1,70.85,70.87,2080800
2020-02-25,70.96,71.01,68.94,69.01,1714800
2020-02-26,69.03,69.75,68.49,68.5,1411500
2020-02-27,68.24,68.62,65.9,65.96,2254100
2020-02-28,64.84,64.84,62.2,64.33,3361800
2020-03-02,65.76,68.76,64.83,68.31,4823800
2020-03-03,68.57,70.0,67.51,67.78,2605500
2020-03-04,68.49,72.02,68.49,71.94,2513800
2020-03-05,70.83,71.62,69.96,70.5,2113500
2020-03-06,68.46,69.47,67.0,69.24,3645900
2020-03-09,65.67,67.15,63.01,63.98,2728500
2020-03-10,64.86,66.33,63.19,66.19,3471600
2020-03-11,64.45,64.79,60.72,61.82,2456300
2020-03-12,57.71,58.39,54.4,55.48,3767600
2020-03-13,58.32,59.24,53.84,58.58,2256300
2020-03-16,51.79,56.71,48.41,49.17,3975600
2020-03-17,50.08,57.33,47.64,57.07,3641400
2020-03-18,53.32,58.98,52.88,57.22,4298100
2020-03-19,55.91,56.51,51.26,54.63,2191900
2020-03-20,54.32,55.23,46.4,46.78,2929200
2020-03-23,46.4,47.25,41.65,44.53,2918100
2020-03-24,46.56,50.96,45.94,50.28,2046900
2020-03-25,49.83,53.98,49.01,51.46,1951100
2020-03-26,51.67,59.12,51.47,57.66,2224800
2020-03-27,55.39,59.37,55.26,57.03,1859700
2020-03-30,58.25,59.09,56.89,58.6,1835500
2020-03-31,57.76,58.22,54.28,54.58,2203500
2020-04-01,52.21,53.69,50.31,51.31,1479600
2020-04-02,50.52,53.76,50.21,53.02,2438300
2020-04-03,52.5,54.89,50.25,51.36,3340100
2020-04-06,53.26,57.84,53.16,57.38,1544300
2020-04-07,58.78,59.33,56.48,56.59,2088300
2020-04-08,56.81,60.87,55.25,60.34,1697600
2020-04-09,60.83,64.15,60.66,62.56,3215300
2020-04-13,61.55,61.55,59.28,60.23,1735900
2020-04-14,61.65,62.2,60.24,62.0,1600700
2020-04-15,61.12,61.28,59.46,59.57,1370200
2020-04-16,59.86,60.06,58.41,59.45,1615500
2020-04-17,60.64,60.97,59.53,60.46,1345700
