Date,Open,High,Low,Close,Volume
2020-02-10,305.62,313.95,304.62,313.68,1084800
2020-02-11,315.24,317.78,311.29,315.75,919200
2020-02-12,315.63,317.22,314.24,316.38,657900
2020-02-13,314.63,320.21,314.01,317.58,655700
2020-02-14,317.99,320.04,315.28,318.43,830000
2020-02-18,318.0,323.6,317.46,320.57,756100
2020-02-19,321.04,325.52,320.8,321.11,854300
2020-02-20,320.77,322.26,312.99,317.39,1047600
2020-02-21,315.0,315.22,306.44,308.92,905300
2020-02-24,298.78,303.31,295.13,298.42,832600
2020-02-25,299.29,299.46,286.83,288.38,962000
2020-02-26,290.66,296.7,284.1,284.2,1079800
2020-02-27,278.23,280.03,265.4,265.67,2044300
2020-02-28,255.55,268.79,253.84,265.79,1680300
2020-03-02,267.44,282.9,267.44,282.04,1452700
2020-03-03,281.1,283.38,264.49,266.41,1444700
2020-03-04,270.9,272.58,264.27,268.25,1213700
2020-03-05,260.72,261.45,251.38,252.72,1250700
2020-03-06,244.98,249.82,242.15,249.16,1936200
2020-03-09,228.98,234.79,220.0,222.59,2406400
2020-03-10,229.32,237.92,221.11,237.67,2659200
2020-03-11,230.82,233.4,218.28,222.47,1452800
2020-03-12,208.54,223.97,204.26,214.43,2677000
2020-03-13,227.99,236.82,214.79,235.46,1779600
2020-03-16,210.0,214.12,200.22,210.91,1759900
2020-03-17,214.78,225.73,198.63,224.34,1768000
2020-03-18,207.17,220.41,169.24,200.51,1921000
2020-03-19,197.39,209.56,183.9,193.3,1441900
2020-03-20,197.7,210.15,185.72,187.03,1591600
2020-03-23,186.0,186.23,168.51,171.72,1289900
2020-03-24,183.9,202.83,179.63,190.43,2032600
2020-03-25,191.94,224.74,188.01,212.33,1564600
2020-03-26,216.58,238.6,204.45,212.36,1825300
2020-03-27,210.27,210.27,194.77,196.18,1271300
2020-03-30,194.68,200.59,182.25,194.02,1690800
2020-03-31,192.44,196.66,182.81,186.54,1904400
2020-04-01,178.33,180.51,169.14,173.22,2410000
2020-04-02,172.68,197.62,170.0,181.52,1595400
2020-04-03,181.52,188.81,180.58,184.78,1007200
2020-04-06,197.34,207.37,193.99,206.09,1595900
2020-04-07,216.37,221.32,209.97,210.36,1419200
2020-04-08,213.63,221.72,210.47,220.31,983600
2020-04-09,226.08,232.9,222.55,224.99,913900
2020-04-13,223.0,223.0,213.93,218.23,527100
2020-04-14,223.43,227.72,219.42,221.84,752900
2020-04-15,212.3,217.06,209.85,211.47,798400
2020-04-16,213.11,213.11,203.71,209.24,702400
2020-04-17,216.54,224.82,216.4,223.59,1464400
