Date,Open,High,Low,Close,Volume
2020-02-10,114.18,115.89,114.18,115.67,819200
2020-02-11,116.26,117.51,115.99,116.95,606900
2020-02-12,117.78,118.57,117.2,117.71,719300
2020-02-13,117.18,118.14,116.96,117.89,520200
2020-02-14,117.67,117.95,116.7,117.51,487200
2020-02-18,116.9,117.35,116.08,116.59,1125200
2020-02-19,117.02,118.04,116.65,117.05,667300
2020-02-20,116.72,118.48,116.72,117.47,649500
2020-02-21,116.7,117.11,114.82,116.4,914400
2020-02-24,113.28,114.52,112.2,114.12,865600
2020-02-25,114.45,114.61,109.51,109.76,1151100
2020-02-26,110.65,111.09,107.32,107.62,940400
2020-02-27,105.2,110.45,104.39,104.39,1096200
2020-02-28,101.27,102.65,98.64,100.38,2214000
2020-03-02,100.22,105.54,99.17,105.48,1655600
2020-03-03,104.94,106.67,100.19,101.57,1665300
2020-03-04,101.98,104.61,100.14,104.51,1348800
2020-03-05,100.85,101.74,98.35,99.68,1233700
2020-03-06,95.26,97.74,92.6,94.73,1890600
2020-03-09,86.36,89.83,84.74,86.19,2050000
2020-03-10,90.56,92.11,86.46,91.95,5448700
2020-03-11,89.28,91.45,87.13,89.05,1670600
2020-03-12,81.06,93.13,81.06,87.26,2606900
2020-03-13,92.85,96.97,89.0,96.63,2495900
2020-03-16,85.65,90.86,82.37,82.76,2368900
2020-03-17,83.47,93.53,82.36,93.42,2565100
2020-03-18,85.95,91.72,82.07,85.19,1943400
2020-03-19,84.13,92.6,81.78,89.89,1812200
2020-03-20,90.34,91.6,77.41,79.42,2644200
2020-03-23,79.35,79.94,69.93,75.46,2090500
2020-03-24,79.41,83.38,77.46,82.63,1606600
2020-03-25,82.2,87.97,79.6,84.29,1834500
2020-03-26,84.6,87.6,80.77,81.24,3816100
2020-03-27,78.3,84.84,77.43,82.18,2908700
2020-03-30,82.21,87.03,80.83,86.24,1796900
2020-03-31,85.76,86.39,81.34,82.12,1921200
2020-04-01,79.93,82.62,78.16,81.5,1769800
2020-04-02,80.72,84.58,80.45,83.8,2242400
2020-04-03,82.6,85.18,80.47,81.62,1435100
2020-04-06,85.52,89.79,84.61,88.4,1715500
2020-04-07,92.38,93.37,88.86,90.02,1300600
2020-04-08,90.02,93.92,89.06,93.22,1098000
2020-04-09,95.12,99.95,95.12,99.31,1708700
2020-04-13,97.19,98.79,92.3,93.23,1172400
2020-04-14,96.97,100.33,95.42,99.4,1589300
2020-04-15,95.75,97.03,93.02,94.35,1809100
2020-04-16,94.82,95.14,92.81,95.01,986100
2020-04-17,97.82,100.91,97.51,99.83,1163000
