Date,Open,High,Low,Close,Volume
2020-02-10,94.25,94.84,93.93,94.55,1494100
2020-02-11,95.5,97.96,95.48,96.15,1316500
2020-02-12,96.82,98.7,96.82,98.47,1671400
2020-02-13,97.83,98.34,96.38,96.61,1844600
2020-02-14,97.0,98.29,96.86,98.16,1460500
2020-02-18,98.0,98.13,97.0,97.6,1563200
2020-02-19,97.85,99.08,97.72,98.48,1386400
2020-02-20,98.48,99.03,96.89,98.46,1509800
2020-02-21,97.89,98.31,95.65,96.18,1966200
2020-02-24,93.0,93.23,90.35,90.89,2730000
2020-02-25,99.79,99.85,93.19,93.66,4298900
2020-02-26,94.68,97.17,93.26,94.07,3640200
2020-02-27,91.36,96.01,90.6,92.4,3432900
2020-02-28,89.5,95.0,89.36,94.76,3521400
2020-03-02,94.94,97.48,93.45,97.42,2516500
2020-03-03,97.0,99.77,92.74,93.51,2656300
2020-03-04,95.44,98.06,93.67,97.93,2133700
2020-03-05,95.41,98.92,95.0,98.6,2862900
2020-03-06,95.81,96.86,93.62,96.01,2477200
2020-03-09,90.2,92.26,87.71,89.2,3521200
2020-03-10,91.79,94.98,88.84,94.83,1991600
2020-03-11,92.37,94.21,90.27,91.8,2404200
2020-03-12,85.71,88.55,82.33,82.36,3438000
2020-03-13,87.09,92.03,85.11,92.03,2417000
2020-03-16,80.78,89.38,80.0,83.78,2765000
2020-03-17,85.4,94.5,80.2,94.19,2947000
2020-03-18,86.63,91.11,82.42,86.0,3053100
2020-03-19,85.16,86.49,79.87,85.97,2721400
2020-03-20,86.18,86.49,81.14,83.09,3254500
2020-03-23,82.66,83.9,79.0,81.17,2061300
2020-03-24,84.76,86.85,81.89,85.06,2162000
2020-03-25,84.18,85.0,80.59,81.96,2286700
2020-03-26,82.1,86.25,81.71,84.21,1930200
2020-03-27,82.98,82.98,77.93,78.28,2366500
2020-03-30,79.39,86.49,78.96,85.66,1935100
2020-03-31,85.18,86.58,83.19,83.68,2273500
2020-04-01,81.19,83.38,80.07,80.89,1279500
2020-04-02,79.89,83.88,79.4,83.75,1440300
2020-04-03,83.6,84.94,80.67,82.52,1301000
2020-04-06,85.56,91.53,85.0,90.73,1981600
2020-04-07,93.31,94.63,89.0,89.21,2201400
2020-04-08,90.11,91.74,88.3,91.0,1283000
2020-04-09,91.06,93.27,90.38,92.1,1040000
2020-04-13,91.41,92.86,90.72,92.55,1018600
2020-04-14,93.64,96.15,93.6,94.86,1026100
2020-04-15,93.29,93.48,91.86,92.97,900700
2020-04-16,93.13,96.88,92.58,96.58,1100900
2020-04-17,97.65,98.57,94.86,95.84,1652800
