Date,Open,High,Low,Close,Volume
2020-02-10,94.06,94.6,93.82,94.21,580400
2020-02-11,94.24,95.05,94.03,94.76,676700
2020-02-12,94.61,95.05,93.78,94.14,465400
2020-02-13,94.23,95.05,93.86,94.72,506400
2020-02-14,94.77,95.23,94.17,94.8,466200
2020-02-18,94.57,95.56,94.33,95.5,962800
2020-02-19,95.61,95.94,93.76,93.98,534200
2020-02-20,93.86,94.59,93.49,94.55,527600
2020-02-21,94.55,94.77,94.17,94.47,421700
2020-02-24,93.63,95.24,93.28,94.95,713900
2020-02-25,94.83,95.74,93.37,93.4,937400
2020-02-26,93.64,94.65,92.12,92.18,778500
2020-02-27,91.74,92.48,89.09,89.1,983200
2020-02-28,87.76,87.93,85.08,86.55,2623100
2020-03-02,86.6,88.11,84.88,86.31,2420900
2020-03-03,86.1,87.98,84.64,85.17,1628800
2020-03-04,86.22,87.94,85.83,87.75,1446500
2020-03-05,86.98,87.6,85.61,86.02,1368900
2020-03-06,83.45,83.8,79.86,83.04,2409500
2020-03-09,79.45,79.68,72.96,73.09,1633300
2020-03-10,74.71,74.71,70.6,72.45,2145400
2020-03-11,70.73,72.72,69.9,71.15,2586500
2020-03-12,67.31,68.66,62.0,63.11,2194800
2020-03-13,65.52,66.1,60.15,63.6,2633100
2020-03-16,58.09,60.74,51.27,52.24,2337400
2020-03-17,53.14,53.6,48.85,52.92,2960400
2020-03-18,50.2,50.89,38.91,44.83,2218200
2020-03-19,42.9,49.17,42.61,48.62,2433300
2020-03-20,49.26,51.01,47.25,47.44,2763700
2020-03-23,45.88,48.57,42.26,47.52,1847000
2020-03-24,49.67,57.43,49.56,54.83,3074900
2020-03-25,54.79,57.66,53.96,56.11,2533600
2020-03-26,56.67,61.22,55.9,58.61,1826300
2020-03-27,56.29,58.04,53.69,57.03,1975700
2020-03-30,57.54,59.77,56.02,57.42,2033000
2020-03-31,57.56,59.91,56.21,56.88,2603700
2020-04-01,51.8,52.26,47.93,50.8,3141100
2020-04-02,49.56,51.98,48.4,49.69,3217500
2020-04-03,49.69,50.55,48.57,50.0,1692100
2020-04-06,52.5,53.3,51.18,51.62,1977700
2020-04-07,54.31,58.29,52.91,54.89,2614700
2020-04-08,55.21,58.19,54.93,57.52,1857500
2020-04-09,58.48,62.03,57.78,58.17,2046900
2020-04-13,58.16,58.47,55.39,58.03,1071800
2020-04-14,58.86,61.98,58.86,60.46,2045400
2020-04-15,58.38,58.42,54.29,55.69,2021700
2020-04-16,56.14,57.86,55.61,57.33,1221500
2020-04-17,59.07,61.05,58.23,59.69,1533700
