Date,Open,High,Low,Close,Volume
2020-02-10,71.98,72.92,71.97,72.89,1323900
2020-02-11,73.01,74.03,72.97,73.11,833600
2020-02-12,73.44,74.24,73.23,74.1,765900
2020-02-13,73.52,74.13,73.12,73.15,853600
2020-02-14,73.37,74.18,72.93,74.02,965900
2020-02-18,73.72,74.91,73.51,74.13,1827700
2020-02-19,74.57,76.6,74.56,76.08,1491600
2020-02-20,76.05,76.05,74.28,75.66,1306000
2020-02-21,75.49,75.77,73.74,74.19,1466000
2020-02-24,71.35,72.27,68.15,68.26,4126600
2020-02-25,68.42,69.49,62.42,62.79,5181000
2020-02-26,63.37,64.62,59.05,60.76,6644800
2020-02-27,59.0,60.75,56.53,57.75,7751400
2020-02-28,57.5,64.32,55.77,60.77,10008500
2020-03-02,61.1,61.1,55.32,57.96,5761600
2020-03-03,57.96,61.63,55.24,57.61,7189900
2020-03-04,58.1,59.84,55.57,59.77,3712600
2020-03-05,57.53,57.98,54.25,55.45,7273600
2020-03-06,52.96,56.44,50.87,53.0,7839700
2020-03-09,48.29,50.23,46.01,47.26,7105200
2020-03-10,49.19,50.73,44.59,50.36,7168400
2020-03-11,48.02,48.34,40.9,42.01,9184500
2020-03-12,37.14,42.13,31.8,36.2,15789800
2020-03-13,42.08,43.63,37.77,42.85,9856000
2020-03-16,35.0,39.23,34.85,36.31,9548800
2020-03-17,37.0,37.5,32.11,33.92,7113900
2020-03-18,31.75,32.3,21.7,29.5,14709300
2020-03-19,29.03,37.33,27.51,32.92,10497700
2020-03-20,34.5,36.92,32.31,33.97,7341400
2020-03-23,33.57,39.31,33.0,37.33,6333400
2020-03-24,41.24,43.49,40.53,42.94,6404900
2020-03-25,44.02,46.64,40.58,45.9,7807500
2020-03-26,46.0,46.77,43.62,45.94,7112100
2020-03-27,43.85,48.65,42.74,47.15,12341800
2020-03-30,44.98,46.42,44.11,45.23,9283300
2020-03-31,44.43,47.62,43.27,45.46,7536600
2020-04-01,42.29,43.57,37.76,38.88,11750100
2020-04-02,37.95,38.77,33.33,33.95,6116000
2020-04-03,33.7,34.1,28.5,33.57,10848800
2020-04-06,36.81,38.16,33.05,34.51,7803800
2020-04-07,37.17,39.81,35.96,37.85,8619800
2020-04-08,38.14,39.45,36.72,37.76,5020100
2020-04-09,40.84,40.88,37.86,38.27,6288300
2020-04-13,38.55,40.02,36.14,39.41,6211300
2020-04-14,39.67,42.42,39.67,41.96,6017900
2020-04-15,39.35,40.63,37.99,38.47,4396600
2020-04-16,37.75,37.97,35.8,36.4,7796100
2020-04-17,40.86,40.87,37.02,38.35,7748200
