Date,Open,High,Low,Close,Volume
2020-02-10,60.96,62.0,60.83,61.96,956700
2020-02-11,62.32,63.17,62.13,62.65,1006500
2020-02-12,63.35,64.05,62.75,63.4,1678100
2020-02-13,63.21,63.62,62.6,63.24,1238500
2020-02-14,63.53,63.59,62.16,62.51,1299200
2020-02-18,62.08,62.16,61.23,61.42,1344000
2020-02-19,61.96,62.51,61.62,62.15,1338400
2020-02-20,61.98,62.32,60.69,61.4,1164200
2020-02-21,61.02,61.27,60.01,60.16,1433400
2020-02-24,58.17,59.11,57.78,58.01,2065700
2020-02-25,58.62,58.75,55.96,56.38,2138100
2020-02-26,57.19,58.04,56.63,57.08,2151500
2020-02-27,55.74,57.43,55.41,55.5,2359700
2020-02-28,53.71,55.57,53.08,55.16,3740100
2020-03-02,55.42,57.38,54.72,57.33,2277100
2020-03-03,57.24,58.34,55.08,55.42,2497500
2020-03-04,55.91,57.59,55.25,57.55,2095800
2020-03-05,55.9,56.7,54.94,55.41,1699200
2020-03-06,53.28,54.54,52.69,54.33,2127000
2020-03-09,50.18,52.0,49.41,49.51,3102600
2020-03-10,51.12,52.56,49.17,52.54,3061500
2020-03-11,50.96,51.68,48.58,49.13,2492200
2020-03-12,46.31,48.66,44.3,44.4,4219600
2020-03-13,47.35,48.66,44.07,48.16,4608000
2020-03-16,42.96,48.62,42.14,42.15,4099800
2020-03-17,43.11,48.6,41.58,47.76,5207800
2020-03-18,44.01,46.58,42.07,44.38,3158400
2020-03-19,44.36,46.73,42.87,45.38,2324800
2020-03-20,45.69,46.22,43.42,43.76,4074900
2020-03-23,44.77,46.3,43.0,45.45,3548900
2020-03-24,47.31,48.29,46.29,47.64,5047600
2020-03-25,47.46,50.31,45.82,48.21,3753600
2020-03-26,48.8,50.01,48.02,49.77,3799100
2020-03-27,48.02,49.03,47.11,47.17,2357900
2020-03-30,48.11,49.68,47.23,49.5,2221200
2020-03-31,48.93,49.8,47.78,48.21,2852300
2020-04-01,46.91,47.81,45.09,45.64,2006000
2020-04-02,45.09,47.5,44.95,47.37,2480900
2020-04-03,46.99,48.42,46.81,48.24,3003400
2020-04-06,50.27,53.42,49.59,53.03,4110200
2020-04-07,54.45,55.13,51.14,51.34,3279600
2020-04-08,51.88,53.06,51.13,52.88,2641600
2020-04-09,52.89,53.98,50.89,51.36,2654100
2020-04-13,51.01,52.13,51.01,51.81,1485200
2020-04-14,52.69,53.29,51.94,52.76,4330100
2020-04-15,51.87,51.97,50.62,51.68,2116600
2020-04-16,52.38,52.63,50.89,52.07,5314900
2020-04-17,53.52,53.95,52.28,52.65,5588400
