Date,Open,High,Low,Close,Volume
2020-02-10,340.72,345.0,338.9,342.77,1781900
2020-02-11,345.96,346.19,341.04,343.57,1194800
2020-02-12,345.02,350.43,339.5,349.8,1306500
2020-02-13,347.5,357.0,347.5,351.81,2489100
2020-02-14,353.64,356.32,350.88,356.16,1106100
2020-02-18,356.0,358.76,354.04,357.49,1288900
2020-02-19,358.75,362.95,357.4,357.72,1306800
2020-02-20,357.72,361.98,345.41,352.94,1948100
2020-02-21,350.48,351.75,338.78,344.48,2348600
2020-02-24,327.34,336.5,324.19,333.56,2016900
2020-02-25,338.56,342.08,327.57,329.72,1839200
2020-02-26,331.0,342.51,330.25,334.27,1616400
2020-02-27,323.69,331.43,317.77,320.1,2275400
2020-02-28,310.0,327.0,307.1,326.09,3202500
2020-03-02,333.83,344.48,326.32,344.4,2700000
2020-03-03,344.39,350.7,325.13,329.63,2952200
2020-03-04,336.74,345.22,331.63,345.07,1575400
2020-03-05,337.49,343.03,326.27,329.33,1959500
2020-03-06,319.39,323.51,300.8,317.24,4109000
2020-03-09,294.39,306.84,288.0,292.09,3436300
2020-03-10,302.38,313.0,291.62,312.8,3919000
2020-03-11,304.98,310.27,283.81,290.63,2908500
2020-03-12,270.04,287.13,261.61,262.12,3877800
2020-03-13,277.41,288.5,264.84,287.67,3038300
2020-03-16,251.01,283.84,250.0,265.43,3389100
2020-03-17,271.41,302.98,270.02,287.42,3908100
2020-03-18,266.0,279.94,238.93,278.16,4428200
2020-03-19,276.46,290.0,258.01,277.66,2792000
2020-03-20,276.06,284.68,252.25,254.7,3502300
2020-03-23,254.9,260.39,240.16,255.32,2825100
2020-03-24,275.58,283.6,268.54,272.0,3371000
2020-03-25,272.35,278.95,257.32,264.67,3088500
2020-03-26,269.69,295.0,267.99,294.73,3731000
2020-03-27,284.13,284.13,269.46,274.0,3076200
2020-03-30,277.77,292.7,275.2,286.39,2368600
2020-03-31,289.59,296.17,281.31,286.58,3393300
2020-04-01,274.39,278.8,268.68,273.07,2424000
2020-04-02,265.0,272.62,249.25,259.0,4418700
2020-04-03,258.85,261.16,246.67,249.57,2849800
2020-04-06,259.49,272.25,255.51,269.95,3215100
2020-04-07,277.0,278.1,255.24,262.35,3045300
2020-04-08,266.44,276.41,263.9,274.05,1770100
2020-04-09,276.08,285.12,274.62,278.06,2754200
2020-04-13,276.76,284.5,273.76,283.56,2319500
2020-04-14,297.0,303.14,289.28,302.09,2555800
2020-04-15,297.21,299.39,293.56,295.92,1799600
2020-04-16,300.48,301.85,289.21,291.94,2076400
2020-04-17,302.09,303.12,296.51,299.59,2128400
