Date,Open,High,Low,Close,Volume
2020-02-10,3891.35,3960.0,3891.35,3952.21,24600
2020-02-11,3960.0,4000.0,3943.5,3981.86,27700
2020-02-12,3968.56,3997.9,3857.9,3976.78,27200
2020-02-13,3969.57,4039.0,3945.34,4021.75,26200
2020-02-14,4021.2,4024.19,3975.52,3993.63,10700
2020-02-18,3971.72,4035.27,3952.57,3960.0,28200
2020-02-19,3975.3,4015.66,3953.04,3965.95,21600
2020-02-20,3968.05,4042.0,3939.42,4037.77,16700
2020-02-21,4011.0,4071.13,3986.95,4031.14,37800
2020-02-24,3994.48,4037.25,3975.55,3988.41,21800
2020-02-25,4010.88,4027.28,3853.7,3860.28,25800
2020-02-26,3857.0,3953.54,3792.75,3849.5,31100
2020-02-27,3814.67,3919.67,3702.85,3746.04,45400
2020-02-28,3678.06,3710.61,3585.19,3667.18,47500
2020-03-02,3689.3,3788.31,3647.24,3788.31,31200
2020-03-03,3788.0,3962.46,3760.02,3843.84,35900
2020-03-04,3930.55,4034.99,3881.94,4017.0,25700
2020-03-05,3988.16,3988.16,3885.0,3923.61,26300
2020-03-06,3824.35,3877.5,3758.36,3845.23,27100
2020-03-09,3725.0,3757.36,3620.36,3632.35,38500
2020-03-10,3686.3,3750.0,3570.01,3750.0,45500
2020-03-11,3679.59,3737.66,3400.0,3411.9,41200
2020-03-12,3120.0,3276.53,2729.53,2947.2,59800
2020-03-13,2991.0,2998.21,2600.07,2922.28,58300
2020-03-16,2600.0,2684.03,2258.0,2321.78,82400
2020-03-17,2386.07,2403.6,2100.5,2271.55,99700
2020-03-18,2151.85,2498.55,2043.01,2286.27,97400
2020-03-19,2266.63,2865.99,2208.78,2709.42,71400
2020-03-20,2733.94,2810.8,2318.87,2326.89,56800
2020-03-23,2280.24,2336.0,2125.0,2175.0,42900
2020-03-24,2284.93,2649.51,2284.93,2633.49,51600
2020-03-25,2646.28,2961.0,2646.05,2915.0,53000
2020-03-26,2854.21,3000.0,2805.62,2941.47,59400
2020-03-27,2929.7,2975.0,2800.0,2871.62,34900
2020-03-30,2880.25,2900.0,2673.79,2714.31,37300
2020-03-31,2673.0,2682.43,2526.81,2569.11,54900
2020-04-01,2502.0,2558.93,2369.36,2410.0,54100
2020-04-02,2380.81,2484.43,2310.03,2369.97,34000
2020-04-03,2330.0,2416.99,2294.72,2362.94,31500
2020-04-06,2500.0,2768.72,2500.0,2691.4,31300
2020-04-07,2782.56,2890.99,2701.97,2712.71,29900
2020-04-08,2793.21,2971.15,2760.0,2934.65,27500
2020-04-09,2999.33,3207.62,2880.0,2928.01,27500
2020-04-13,2869.38,2869.38,2697.24,2764.8,18700
2020-04-14,2847.52,2929.99,2820.0,2900.44,21700
2020-04-15,2850.17,2853.47,2741.52,2792.95,28700
2020-04-16,2754.28,2818.99,2716.05,2750.06,35100
2020-04-17,2821.0,2920.0,2793.51,2917.75,30000
