Date,Open,High,Low,Close,Volume
2020-02-10,38.49,38.97,38.28,38.9,670000
2020-02-11,39.01,39.48,38.83,39.42,1286700
2020-02-12,39.43,40.01,39.29,39.58,1140700
2020-02-13,39.42,39.89,39.32,39.73,580900
2020-02-14,39.8,40.07,39.65,39.74,543400
2020-02-18,39.69,39.72,39.27,39.32,1172000
2020-02-19,39.44,39.82,39.44,39.64,711900
2020-02-20,39.6,39.99,39.45,39.89,781200
2020-02-21,39.74,40.39,39.59,40.35,656100
2020-02-24,39.31,40.25,39.31,39.58,1164900
2020-02-25,39.62,39.76,38.54,38.59,812200
2020-02-26,38.81,39.48,38.58,38.8,954900
2020-02-27,38.3,38.92,37.58,37.59,1137300
2020-02-28,36.78,37.56,36.2,37.37,2233200
2020-03-02,37.47,39.1,36.87,39.03,2190700
2020-03-03,39.09,39.82,37.7,38.07,1095000
2020-03-04,38.84,40.02,38.58,40.0,1036500
2020-03-05,39.21,40.79,38.91,40.64,1584500
2020-03-06,39.8,40.38,38.49,39.67,1586200
2020-03-09,37.4,39.14,37.4,38.21,1479300
2020-03-10,39.08,40.3,38.66,40.27,1649000
2020-03-11,39.37,39.64,37.88,38.36,1376400
2020-03-12,35.92,38.03,34.01,34.3,2048900
2020-03-13,35.47,37.75,34.61,37.75,2099000
2020-03-16,34.89,36.81,33.0,35.68,1894300
2020-03-17,36.36,38.42,35.33,38.04,4021300
2020-03-18,35.83,37.16,35.47,36.95,3316800
2020-03-19,37.05,37.05,34.88,35.53,2224100
2020-03-20,35.83,36.12,34.22,34.93,3354300
2020-03-23,34.43,34.71,31.09,31.51,1706900
2020-03-24,32.55,34.71,32.31,33.75,1885200
2020-03-25,33.47,33.6,30.66,32.53,2395900
2020-03-26,32.79,33.94,32.14,33.63,1935800
2020-03-27,32.71,35.14,32.71,34.19,2019000
2020-03-30,34.87,36.75,34.48,35.77,2896500
2020-03-31,35.82,37.65,35.26,36.07,3976500
2020-04-01,35.13,35.64,33.82,35.09,1803100
2020-04-02,34.25,35.7,33.95,35.61,1944300
2020-04-03,35.25,36.66,35.25,35.98,1428600
2020-04-06,36.81,37.38,35.78,37.13,1773300
2020-04-07,37.37,37.67,35.83,35.87,1094800
2020-04-08,36.02,36.26,35.21,35.84,782100
2020-04-09,35.88,36.38,35.7,35.95,1575300
2020-04-13,35.66,36.29,34.47,35.8,803800
2020-04-14,36.47,37.71,36.1,37.51,1142000
2020-04-15,37.19,37.64,36.64,36.78,630300
2020-04-16,36.9,38.33,36.9,38.27,1242700
2020-04-17,38.96,39.47,38.51,38.89,1106500
