Date,Open,High,Low,Close,Volume
2020-02-10,85.41,85.65,84.38,84.53,3423100
2020-02-11,93.7,95.23,92.66,94.49,25874400
2020-02-12,94.0,96.27,93.92,95.67,8915500
2020-02-13,95.12,96.15,94.8,95.14,5490500
2020-02-14,95.26,96.62,95.02,96.48,3045900
2020-02-18,96.85,100.02,96.28,99.88,7460100
2020-02-19,101.16,101.35,99.64,100.49,6091300
2020-02-20,100.1,100.42,98.23,99.5,6350400
2020-02-21,98.97,99.49,96.62,98.57,12101000
2020-02-24,96.13,97.31,95.88,96.37,4700900
2020-02-25,96.56,97.0,94.45,94.58,5117500
2020-02-26,94.68,95.66,93.44,93.65,4371300
2020-02-27,92.83,93.32,91.16,91.24,5855500
2020-02-28,89.44,90.5,87.48,90.16,6958100
2020-03-02,90.28,93.36,88.98,93.29,5160600
2020-03-03,92.63,93.92,88.77,89.37,5702000
2020-03-04,90.43,93.96,90.25,93.81,5222200
2020-03-05,91.61,93.16,89.19,89.86,4941300
2020-03-06,86.1,88.28,85.42,87.86,5978500
2020-03-09,83.27,84.89,79.58,79.75,7946600
2020-03-10,81.98,85.01,80.21,84.98,6713600
2020-03-11,82.86,87.83,82.85,86.45,8840300
2020-03-12,82.02,85.0,76.41,76.76,9075300
2020-03-13,80.15,85.52,76.61,85.39,7401700
2020-03-16,78.34,80.55,74.84,76.53,6787700
2020-03-17,77.6,80.4,75.45,78.35,7609100
2020-03-18,74.6,76.1,63.5,74.32,11114200
2020-03-19,74.77,81.99,73.61,79.45,8906200
2020-03-20,80.0,82.0,73.16,74.55,6836600
2020-03-23,74.98,76.66,70.83,75.7,8328800
2020-03-24,78.5,79.71,75.83,78.65,5929100
2020-03-25,77.77,85.47,77.75,79.17,6252700
2020-03-26,80.0,84.99,79.73,84.63,4821300
2020-03-27,82.54,83.9,81.02,81.72,4309600
2020-03-30,82.29,83.86,81.24,83.12,5625200
2020-03-31,83.04,84.75,81.98,83.9,6920600
2020-04-01,82.99,86.71,82.7,85.13,11018800
2020-04-02,85.05,88.52,84.02,84.41,22956100
2020-04-03,84.56,84.99,81.04,81.98,8378500
2020-04-06,84.49,86.49,82.99,86.09,5256300
2020-04-07,87.66,87.91,85.17,86.51,4410100
2020-04-08,86.6,87.64,86.0,86.85,3831600
2020-04-09,86.88,87.75,84.93,85.9,5770900
2020-04-13,84.59,87.28,84.47,86.17,3955700
2020-04-14,87.19,89.94,86.4,89.62,4787100
2020-04-15,87.92,89.39,87.1,88.54,5804000
2020-04-16,89.11,90.58,88.07,90.27,4796400
2020-04-17,92.75,93.3,89.86,90.99,3847500
