Date,Open,High,Low,Close,Volume
2020-02-10,33.99,34.11,33.46,33.7,7112300
2020-02-11,33.99,34.55,33.46,34.45,6381600
2020-02-12,34.64,35.05,34.38,34.77,5321600
2020-02-13,34.49,34.96,34.3,34.46,3742500
2020-02-14,34.7,34.76,33.86,34.46,4349000
2020-02-18,34.5,35.17,34.45,34.58,6057700
2020-02-19,34.69,35.44,34.51,35.14,10675500
2020-02-20,31.76,31.82,28.65,28.85,44416400
2020-02-21,28.5,28.91,27.75,27.84,17502200
2020-02-24,27.09,27.1,25.96,26.53,17546900
2020-02-25,26.72,26.97,24.78,24.98,25053800
2020-02-26,25.29,25.71,24.05,24.08,18715900
2020-02-27,23.6,24.74,22.73,23.53,21555200
2020-02-28,23.38,24.94,23.04,24.24,22720200
2020-03-02,24.38,24.43,22.92,23.95,18892200
2020-03-03,23.86,24.18,22.37,22.74,20205100
2020-03-04,23.08,23.14,22.17,22.76,17083100
2020-03-05,22.51,22.52,20.93,21.16,20784500
2020-03-06,20.68,21.76,20.31,21.25,14435200
2020-03-09,19.7,19.9,18.84,18.88,14525100
2020-03-10,19.75,20.26,18.87,20.22,14906800
2020-03-11,19.52,19.99,18.99,19.51,15620200
2020-03-12,17.91,18.03,15.87,15.9,21431500
2020-03-13,17.34,17.93,15.59,16.4,17399900
2020-03-16,15.5,15.73,13.6,13.61,18695600
2020-03-17,14.45,14.45,12.21,12.74,21756300
2020-03-18,12.05,12.26,10.1,12.21,19626400
2020-03-19,12.15,13.22,11.3,12.62,14490700
2020-03-20,12.85,13.31,11.77,11.97,18495100
2020-03-23,11.9,11.99,10.81,11.28,21613200
2020-03-24,12.0,14.83,11.85,14.75,24294700
2020-03-25,15.17,16.19,14.18,14.74,19993600
2020-03-26,14.85,14.85,13.27,13.99,23227100
2020-03-27,13.58,13.58,12.27,12.79,15405700
2020-03-30,12.97,14.21,12.27,14.09,15460100
2020-03-31,14.07,14.89,13.86,14.01,16262900
2020-04-01,13.41,13.56,12.69,12.78,14039600
2020-04-02,12.75,13.94,12.52,12.76,13340000
2020-04-03,12.69,13.12,11.92,12.43,12254700
2020-04-06,13.12,14.17,12.94,13.94,17272700
2020-04-07,14.74,16.67,14.62,14.69,20200900
2020-04-08,15.13,16.16,14.82,15.8,16587800
2020-04-09,16.72,17.14,16.09,16.56,15991700
2020-04-13,16.75,16.86,15.64,16.06,11912800
2020-04-14,16.41,16.63,15.37,16.27,14021400
2020-04-15,15.57,15.75,15.0,15.2,11604500
2020-04-16,15.15,15.16,14.39,14.63,11751000
2020-04-17,15.34,15.84,15.2,15.8,9142500
