Date,Open,High,Low,Close,Volume
2020-02-10,77.72,78.65,77.7,78.62,801700
2020-02-11,78.71,79.27,78.69,79.14,773300
2020-02-12,79.04,79.04,78.33,78.5,522000
2020-02-13,78.39,79.19,78.17,79.18,726800
2020-02-14,79.18,79.3,78.69,79.26,802100
2020-02-18,79.26,79.67,78.97,79.22,740100
2020-02-19,79.37,79.77,79.14,79.34,478600
2020-02-20,79.05,79.27,77.38,77.93,1004600
2020-02-21,77.85,78.74,77.73,78.51,3374000
2020-02-24,77.69,78.3,76.81,76.9,1157200
2020-02-25,76.91,77.23,74.93,75.03,949100
2020-02-26,75.33,76.02,73.87,73.9,962300
2020-02-27,73.05,73.59,69.76,69.86,1024700
2020-02-28,68.37,68.91,66.0,67.02,2198300
2020-03-02,67.16,70.08,66.44,70.07,1163000
2020-03-03,69.97,71.1,67.53,67.84,1168700
2020-03-04,68.98,69.9,67.51,69.89,1314000
2020-03-05,68.25,68.35,66.12,66.67,1305300
2020-03-06,64.54,66.52,63.98,66.12,1255500
2020-03-09,62.6,62.6,59.18,60.19,1535600
2020-03-10,61.79,63.16,60.14,63.11,1269100
2020-03-11,61.21,61.39,57.87,58.15,1665100
2020-03-12,54.18,55.13,51.1,51.45,2037800
2020-03-13,53.98,56.4,50.54,56.18,1574100
2020-03-16,49.59,52.99,47.02,47.51,2111000
2020-03-17,48.81,53.26,47.02,53.19,1994600
2020-03-18,49.89,52.67,47.5,50.74,2037400
2020-03-19,50.06,50.88,48.01,48.45,1305900
2020-03-20,48.63,50.03,47.24,47.58,1822800
2020-03-23,46.77,47.34,43.05,43.36,1606500
2020-03-24,45.52,48.31,44.85,48.1,1182300
2020-03-25,47.87,49.66,45.68,47.52,1099300
2020-03-26,47.89,51.17,46.85,50.81,927400
2020-03-27,49.77,53.55,48.92,51.87,978400
2020-03-30,51.87,54.7,50.4,54.51,1247800
2020-03-31,53.6,54.16,51.05,52.17,3010500
2020-04-01,49.66,50.89,49.22,50.24,1335400
2020-04-02,49.62,52.09,49.52,50.68,1432100
2020-04-03,49.98,50.94,49.24,49.48,1241800
2020-04-06,51.82,54.12,51.3,53.73,1190800
2020-04-07,55.78,57.39,53.76,53.82,1171000
2020-04-08,54.37,55.46,53.13,55.22,775100
2020-04-09,56.07,58.95,56.07,58.32,687100
2020-04-13,58.35,58.35,56.34,56.7,876200
2020-04-14,58.25,59.35,57.94,58.7,763100
2020-04-15,57.0,57.3,55.27,55.72,1120100
2020-04-16,55.49,56.18,53.74,54.65,906100
2020-04-17,56.44,57.34,55.7,56.99,1135600
