Date,Open,High,Low,Close,Volume
2020-02-10,158.68,160.01,158.29,159.91,182300
2020-02-11,160.76,162.3,160.56,162.05,247100
2020-02-12,162.19,162.7,160.85,162.05,464600
2020-02-13,165.3,174.95,165.3,174.22,615000
2020-02-14,174.62,175.05,171.96,174.41,396900
2020-02-18,174.23,175.03,172.84,173.06,477900
2020-02-19,172.42,176.49,169.77,174.6,473500
2020-02-20,173.18,174.34,170.3,171.51,481500
2020-02-21,171.31,171.56,169.6,170.0,307100
2020-02-24,166.33,168.54,164.99,166.73,337600
2020-02-25,167.15,167.53,162.2,162.42,448300
2020-02-26,162.51,164.48,158.15,158.15,483200
2020-02-27,155.31,160.38,154.66,154.66,468100
2020-02-28,151.42,152.67,147.43,150.42,834400
2020-03-02,151.4,156.52,150.45,156.34,446500
2020-03-03,156.57,159.76,151.78,153.84,485900
2020-03-04,156.9,159.18,155.35,158.75,489200
2020-03-05,156.04,157.09,151.18,153.34,301300
2020-03-06,149.65,150.13,145.85,149.81,552300
2020-03-09,148.86,148.86,138.62,139.67,735800
2020-03-10,143.01,144.3,136.52,143.41,571800
2020-03-11,139.96,149.36,139.31,147.69,1013700
2020-03-12,140.38,146.9,139.24,142.63,1054200
2020-03-13,146.85,148.66,135.92,145.97,930800
2020-03-16,136.96,139.8,129.75,130.35,971800
2020-03-17,132.72,144.99,129.43,142.96,891200
2020-03-18,135.34,151.49,130.39,143.36,823100
2020-03-19,143.36,146.27,134.98,139.15,683900
2020-03-20,137.43,139.36,129.92,130.53,709600
2020-03-23,130.33,132.5,124.41,128.84,555400
2020-03-24,133.98,140.72,131.88,135.35,623400
2020-03-25,135.84,139.86,131.9,135.18,483100
2020-03-26,136.3,146.29,136.3,146.29,671400
2020-03-27,142.66,146.25,138.53,140.95,546600
2020-03-30,143.6,152.34,143.53,151.67,445100
2020-03-31,152.88,159.68,151.53,152.11,555600
2020-04-01,149.13,153.18,145.64,149.66,481000
2020-04-02,148.86,156.41,148.01,155.53,495200
2020-04-03,154.14,156.27,149.59,151.21,604600
2020-04-06,155.85,161.85,153.85,161.15,351500
2020-04-07,165.68,167.67,156.88,157.99,535800
2020-04-08,157.67,164.65,154.25,164.64,401300
2020-04-09,164.64,166.23,158.95,162.78,380400
2020-04-13,160.61,162.31,156.77,159.73,336000
2020-04-14,163.85,167.65,161.38,166.93,355600
2020-04-15,163.99,168.66,163.61,164.86,389400
2020-04-16,166.03,168.5,165.07,167.42,363400
2020-04-17,170.1,170.83,167.93,169.82,408500
